SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,POSITION,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,GAMES_PLAYED,GOALS,ASSISTS,POINTS,WINS,LOSSES,WL_RATIO,OT_WINS,OT_LOSSES,SO_WINS,SO_LOSSES,SO_WL_RATIO,GOALS_AGAINST,EVEN_STR_GOALS_AGAINST,PP_GOALS_AGAINST,SH_GOALS_AGAINST,SHOTS_AGAINST,EVEN_STR_SHOTS_AGAINST,PP_SHOTS_AGAINST,SH_SHOTS_AGAINST,OT_GOALS_AGAINST,SAVES,SAVESPG,EVEN_STR_SAVES,PP_SAVES,SH_SAVES,GAA,SAVE_PCT,BRICK_WALL,SHUTOUTS,GAMES_STARTED,CREDIT_FOR_GAME,SO_SAVE_PCT,SO_GA,MIN_PLAYED,PENALTIES,PIM,GOONY_BIG_PADS,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,12,TOR,17355,Cayden Primeau,G,UNDRAFTED,26,"6'3""",200,USA,"Voorhees, New Jersey",False,3,0,0,0,2,1,2.0,1,0,0,0,,13,12,1,0,80,68,12,0,0,67,22.33,56,11,0,4.298,0.838,68.02222222,0,3,3,0.0,0,181,0,0,0.0,0,10,0,0,0,10888,0,0,0,TOR,Atlantic,Eastern
2025-2026,20260228,9,NYR,4333,Jonathan Quick,G,ROSTER,40,"6'1""",216,USA,"Milford, CT",False,20,0,1,1,4,14,0.29,1,2,0,0,,58,50,7,1,528,436,81,11,2,470,23.5,386,74,10,3.1,0.89,77.27777778,1,17,20,0.0,0,1123,3,14,8.75,0,81,0,0,0,67359,0,0,0,NYR,Metropolitan,Eastern
2025-2026,20260228,13,OTT,4862,James Reimer,G,ROSTER,37,"6'2""",220,Canada,"Morweena, MB",False,7,0,0,0,3,3,1.0,1,1,0,0,,20,14,6,0,154,125,28,1,1,134,19.14,111,22,1,2.896,0.87,77.41111111,0,7,7,0.0,0,414,0,0,0.0,0,28,0,0,0,24864,0,0,0,OTT,Atlantic,Eastern
2025-2026,20260228,8,NYI,11724,David Rittich,G,ROSTER,33,"6'3""",206,Czech Republic,Jihlava,False,23,0,0,0,12,8,1.5,2,3,2,3,0.67,59,47,9,3,589,482,90,17,0,530,23.04,435,81,14,2.566,0.9,80.74444444,2,21,23,0.5,6,1379,0,0,0.0,0,91,0,0,0,82764,0,0,0,NYI,Metropolitan,Eastern
2025-2026,20260228,18,NSH,5877,Juuse Saros,G,ROSTER,30,"5'11""",180,Finland,Hämeenlinna,False,44,0,0,0,21,17,1.24,4,5,3,0,inf,134,111,23,0,1241,1044,157,40,5,1107,25.16,933,134,40,3.196,0.892,76.84444444,0,44,43,0.73,3,2516,1,2,1.25,0,176,0,0,0,150942,0,0,0,NSH,Central,Western
2025-2026,20260228,142,VGK,36945,Akira Schmid,G,ROSTER,25,"6'4""",165,Switzerland,Bern,True,30,0,1,1,16,7,2.29,3,6,0,1,0.0,74,60,12,2,705,610,83,12,5,631,21.03,550,71,10,2.546,0.895,80.60555556,2,25,29,0.5,1,1744,0,0,0.0,0,119,0,0,0,104619,0,0,0,VGK,Pacific,Western
2025-2026,20260228,13,OTT,37657,Hunter Shepard,G,ASSIGNED_TO_MINORS,30,"6'1""",209,USA,"Cohasset, MN",True,1,0,0,0,0,1,0.0,0,0,0,0,,2,1,0,1,12,9,2,1,0,10,10.0,8,2,0,3.354,0.833,73.01666667,0,0,1,0.0,0,36,0,0,0.0,0,4,0,0,0,2147,0,0,0,OTT,Atlantic,Eastern
2025-2026,20260228,9,NYR,17374,Igor Shesterkin,G,ROSTER,30,"6'2""",192,Russia,Moscow,False,35,0,0,0,17,12,1.42,5,5,2,0,inf,85,57,23,5,969,776,167,26,5,884,25.26,719,144,21,2.467,0.912,81.89444444,1,35,34,0.67,1,2068,2,4,2.5,0,141,0,0,0,124062,0,0,0,NYR,Metropolitan,Eastern
2025-2026,20260228,10,PIT,29762,Arturs Silovs,G,ROSTER,24,"6'4""",203,Latvia,Riga,True,27,0,2,2,12,7,1.71,2,8,1,6,0.17,75,62,9,4,730,616,84,30,2,656,24.3,554,75,27,2.856,0.899,79.08333333,1,26,27,0.32,13,1576,2,2,1.25,0,109,0,0,0,94554,0,0,0,PIT,Metropolitan,Eastern
2025-2026,20260228,24,EDM,17353,Stuart Skinner,G,ROSTER,27,"6'4""",207,Canada,"Edmonton, AB",False,23,0,0,0,11,8,1.38,5,4,0,2,0.0,62,50,11,1,570,462,99,9,2,508,22.09,412,88,8,2.825,0.891,78.85555556,2,23,23,0.5,4,1317,0,0,0.0,0,85,0,0,0,78999,0,0,0,EDM,Pacific,Western
