season,snapshot_date,team_id,team,team_abbr,games_played,wins,losses,wl_ratio,gf,ga,gf_pg,ga_pg,gpg_diff,sf_pg,shot_pct,pts,fo_pct,pp,ppg,pp_pct,pk,pkga,pk_pct,st_pct,p,pim,unf_errors,off,def,goal,grit,balance,pyth_win_pct,pyth_wins,wins_above_expected,team_abbr_canon,division,conference,source_file
2024,2/12/2026,26,San Jose Sharks,NA,55,27,24,1.12,171,192,3.11,3.49,-0.38,25.49,12.2,58,47.5,186,38,20.4,170,37,78.2,98.6,205,460,3.054,48.61,31.8,30.35,45.97,39.18,0.44,24.34,2.66,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,143,Seattle Kraken,NA,56,27,20,1.35,162,161,2.89,2.88,0.01,25.36,11.41,63,47.6,159,37,23.3,156,45,71.2,94.5,188,445,2.731,43.53,37.66,50.28,29.88,40.34,0.5,28.1,-1.1,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,17,St. Louis Blues,NA,57,20,28,0.71,147,200,2.58,3.51,-0.93,25.07,10.29,49,50,153,28,18.3,157,42,73.2,91.5,189,446,2.929,26.25,25.91,26.95,62.16,35.32,0.35,19.99,0.01,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,1,Tampa Bay Lightning,NA,55,37,14,2.64,199,138,3.62,2.51,1.11,28.15,12.86,78,47,172,39,22.7,172,28,83.7,106.4,278,802,3.89,69.2,73.48,77.4,58.9,69.74,0.68,37.14,-0.14,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,12,Toronto Maple Leafs,NA,57,27,21,1.29,188,193,3.3,3.39,-0.09,27.32,12.07,63,56.2,133,25,18.8,140,23,83.6,102.4,179,402,2.731,52.11,50.8,45.31,53.7,50.48,0.49,27.73,-0.73,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,30,Utah Mammoth,NA,57,30,23,1.3,183,157,3.21,2.75,0.46,27.77,11.56,64,49.1,156,25,16,174,37,78.7,94.7,221,526,2.897,46.56,64.52,61.86,43.59,54.13,0.58,32.87,-2.87,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,21,Vancouver Canucks,NA,57,18,33,0.55,149,208,2.61,3.65,-1.04,26.88,9.73,42,48.5,171,32,18.7,168,50,70.2,88.9,208,469,3.078,29.37,11.95,15.52,54.57,27.85,0.34,19.28,-1.28,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,142,Vegas Golden Knights,NA,57,27,16,1.69,191,173,3.35,3.04,0.31,28.84,11.62,68,50.8,164,42,25.6,131,25,80.9,106.5,165,387,2.544,63.53,57.56,58.35,41.45,55.22,0.55,31.26,-4.26,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,5,Washington Capitals,NA,59,29,23,1.26,189,172,3.2,2.92,0.28,29.15,10.99,65,49.7,175,29,16.6,190,40,78.9,95.5,233,558,3.04,48.03,52.25,53.68,44.03,49.49,0.55,32.19,-3.19,NA,NA,NA,nhl_team_stats_20260212.csv
2024,2/12/2026,2,Winnipeg Jets,NA,56,22,26,0.85,160,173,2.86,3.09,-0.23,26.27,10.88,52,50.5,155,30,19.4,166,35,78.9,98.3,201,485,2.928,37.98,51.53,48.79,59.54,49.46,0.46,25.84,-3.84,NA,NA,NA,nhl_team_stats_20260212.csv
