season,snapshot_date,team_id,team,team_abbr,games_played,wins,losses,wl_ratio,gf,ga,gf_pg,ga_pg,gpg_diff,sf_pg,shot_pct,pts,fo_pct,pp,ppg,pp_pct,pk,pkga,pk_pct,st_pct,p,pim,unf_errors,off,def,goal,grit,balance,pyth_win_pct,pyth_wins,wins_above_expected,team_abbr_canon,division,conference,source_file
2024,11/1/2025,6,Philadelphia Flyers,NA,10,6,3,2,30,24,3,2.4,0.6,23.1,12.99,13,51.6,30,6,20,37,4,89.2,109.2,52,159,4.148,41.54,61.91,71.7,66.03,60.29,0.61,6.1,-0.1,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,10,Pittsburgh Penguins,NA,12,8,2,4,43,29,3.58,2.42,1.16,26.33,13.61,18,50.6,29,9,31,38,7,81.6,112.6,45,127,3.059,66.39,64.39,67.64,26.37,56.2,0.69,8.24,-0.24,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,26,San Jose Sharks,NA,11,3,6,0.5,37,48,3.36,4.36,-1,25.91,12.98,8,50.3,39,9,23.1,36,13,63.9,87,41,96,3.466,55.32,14.29,12.88,43.55,31.51,0.37,4.1,-1.1,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,143,Seattle Kraken,NA,10,5,2,2.5,28,28,2.8,2.8,0,25,11.2,13,45.1,30,6,20,25,9,64,84,32,89,2.855,37.06,46.41,52.99,48.95,46.35,0.5,5,0,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,17,St. Louis Blues,NA,11,3,6,0.5,32,47,2.91,4.27,-1.36,26.73,10.88,8,50.3,32,8,25,30,9,70,95,36,81,3.158,45.13,22.77,22.04,59.49,37.36,0.32,3.49,-0.49,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,1,Tampa Bay Lightning,NA,11,5,4,1.25,31,31,2.82,2.82,0,26.73,10.54,12,44.6,39,6,15.4,37,4,89.2,104.6,54,125,3.383,35.15,62.58,63.11,43.4,51.06,0.5,5.5,-0.5,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,12,Toronto Maple Leafs,NA,11,5,5,1,38,42,3.45,3.82,-0.37,29.73,11.62,11,54.2,29,4,13.8,30,5,83.3,97.1,36,78,2.947,51.03,40.03,39.17,53.27,45.88,0.45,4.94,0.06,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,30,Utah Mammoth,NA,11,8,2,4,40,30,3.64,2.73,0.91,29.55,12.31,16,45.5,38,8,21.1,34,9,73.5,94.6,47,108,3.01,62.45,55.15,56.15,27.26,50.25,0.64,7.04,0.96,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,21,Vancouver Canucks,NA,12,6,6,1,33,36,2.75,3,-0.25,24.75,11.11,12,44.5,39,7,17.9,42,12,71.4,89.3,48,102,2.88,34.04,46.74,46.59,57.74,46.28,0.46,5.48,0.52,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,142,Vegas Golden Knights,NA,11,6,2,3,39,31,3.55,2.82,0.73,28,12.66,15,54.1,43,11,25.6,30,6,80,105.6,38,90,2.738,63.78,57.76,59.53,49.05,57.53,0.61,6.74,-0.74,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,5,Washington Capitals,NA,11,6,5,1.2,28,25,2.55,2.27,0.28,28.55,8.92,12,46.4,36,6,16.7,33,9,72.7,89.4,40,83,2.398,30.78,62.22,66.34,53.01,53.09,0.56,6.14,-0.14,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/1/2025,2,Winnipeg Jets,NA,11,8,3,2.67,40,28,3.64,2.55,1.09,26.55,13.7,16,53.8,36,10,27.8,45,4,91.1,118.9,55,130,3.33,66.47,71.97,69.09,63.18,67.68,0.67,7.38,0.62,NA,NA,NA,nhl_team_stats_20251101.csv
2024,11/2/2025,29,Anaheim Ducks,NA,10,6,3,2,37,33,3.7,3.3,0.4,31.6,11.71,13,46.4,40,8,20,33,7,78.8,98.8,43,104,3.354,66.16,47.57,44.63,67.46,56.45,0.56,5.57,0.43,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,11,Boston Bruins,NA,14,7,7,1,45,48,3.21,3.43,-0.22,26.36,12.2,14,54.6,46,10,21.7,55,10,81.8,103.5,66,148,3.453,50.81,45.09,41.15,66.3,50.84,0.47,6.54,0.46,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,15,Buffalo Sabres,NA,12,5,4,1.25,37,38,3.08,3.17,-0.09,30.5,10.11,13,42.3,40,8,20,42,4,90.5,110.5,58,143,3.609,48.89,59.42,55.51,54.59,54.6,0.49,5.83,-0.83,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,23,Calgary Flames,NA,13,2,9,0.22,29,46,2.23,3.54,-1.31,28.62,7.8,6,46,50,7,14,52,12,76.9,90.9,66,163,3.901,20.54,36.02,34.07,64.74,38.84,0.28,3.69,-1.69,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,3,Carolina Hurricanes,NA,11,7,4,1.75,41,32,3.73,2.91,0.82,32.64,11.42,14,50.2,32,3,9.4,40,7,82.5,91.9,50,100,2.932,58.04,60.25,55.5,47.86,55.41,0.62,6.84,0.16,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,20,Chicago Blackhawks,NA,12,4,4,1,38,34,3.17,2.83,0.34,24.83,12.75,11,47,37,7,18.9,50,9,82,100.9,62,144,3.485,46.43,58.26,55.07,49.93,52.42,0.56,6.68,-2.68,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,22,Colorado Avalanche,NA,13,7,1,7,47,33,3.62,2.54,1.08,34.15,10.59,19,50.8,49,8,16.3,39,4,89.7,106,47,100,2.527,62.9,73.22,71.46,24.63,58.05,0.67,8.71,-1.71,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,19,Columbus Blue Jackets,NA,11,7,4,1.75,38,33,3.45,3,0.45,32.82,10.53,14,52.1,26,5,19.2,34,11,67.6,86.8,40,92,2.821,58.7,45.38,45.66,37.46,46.8,0.57,6.26,0.74,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,27,Dallas Stars,NA,12,6,3,2,33,35,2.75,2.92,-0.17,26,10.58,15,53,41,13,31.7,36,10,72.2,103.9,41,98,2.798,46.6,45.71,51.12,51.73,48.79,0.47,5.64,0.36,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,16,Detroit Red Wings,NA,12,8,4,2,41,39,3.42,3.25,0.17,27.67,12.35,16,52.9,40,10,25,36,5,86.1,111.1,41,93,2.847,59.8,52.45,51.8,31.39,48.86,0.53,6.31,1.69,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,24,Edmonton Oilers,NA,13,6,4,1.5,41,40,3.15,3.08,0.07,29.38,10.73,15,51.8,36,12,33.3,31,6,80.6,113.9,32,64,2.211,59.89,54.24,55.02,10.82,44.99,0.51,6.65,-0.65,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,4,Florida Panthers,NA,12,6,5,1.2,31,33,2.58,2.75,-0.17,28.83,8.96,13,46.9,45,9,20,41,10,75.6,95.6,50,111,2.928,34.92,54,55.28,81.9,56.52,0.47,5.62,0.38,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,28,Los Angeles Kings,NA,13,5,4,1.25,37,41,2.85,3.15,-0.3,29.85,9.54,14,49.1,37,6,16.2,50,13,74,90.2,52,116,3.042,38.83,42.39,41.99,46.14,42.34,0.45,5.85,-0.85,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,25,Minnesota Wild,NA,13,4,6,0.67,37,49,2.85,3.77,-0.92,30.08,9.46,11,48,51,15,29.4,28,10,64.3,93.7,34,87,2.798,51.22,28.64,31.68,43.66,38.8,0.36,4.73,-0.73,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,14,Montreal Canadiens,NA,12,9,3,3,44,36,3.67,3,0.67,25.92,14.15,18,50.5,35,10,28.6,39,9,76.9,105.5,51,122,3.183,68.16,52.08,50.91,43.49,53.66,0.6,7.19,1.81,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,18,Nashville Predators,NA,13,5,6,0.83,33,43,2.54,3.31,-0.77,27,9.4,12,51.8,40,5,12.5,43,5,88.4,100.9,54,117,3.095,25.43,55.14,51.01,42,43.39,0.37,4.82,0.18,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,7,New Jersey Devils,NA,12,9,3,3,45,36,3.75,3,0.75,28.58,13.12,18,48.1,31,10,32.3,43,6,86,118.3,45,95,2.735,73.85,62.96,56.17,53.35,61.58,0.61,7.32,1.68,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,8,New York Islanders,NA,11,5,5,1,37,39,3.36,3.55,-0.19,29.55,11.38,11,51.3,41,6,14.6,36,9,75,89.6,48,127,3.732,51.14,31.5,36.03,62.53,45.3,0.47,5.2,-0.2,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,9,New York Rangers,NA,13,6,5,1.2,31,30,2.38,2.31,0.07,28.69,8.31,14,55.2,33,4,12.1,33,5,84.8,96.9,39,87,2.23,22.14,74.37,75.47,64.17,59.04,0.51,6.69,-0.69,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,13,Ottawa Senators,NA,13,6,5,1.2,48,51,3.69,3.92,-0.23,28.92,12.77,14,59.6,48,13,27.1,40,15,62.5,89.6,56,134,3.593,69.86,17.4,19.93,63.83,42.76,0.47,6.11,-0.11,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,6,Philadelphia Flyers,NA,11,6,4,1.5,32,29,2.91,2.64,0.27,24,12.12,13,50.6,36,7,19.4,40,4,90,109.4,55,165,4.06,39.53,60,67.84,63.08,57.61,0.55,6.03,-0.03,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,10,Pittsburgh Penguins,NA,13,8,3,2.67,45,34,3.46,2.62,0.84,26.62,13.01,18,50.8,31,10,32.3,41,7,82.9,115.2,50,135,3.097,64.95,62.4,64.65,27.44,54.86,0.64,8.26,-0.26,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,26,San Jose Sharks,NA,12,4,6,0.67,40,50,3.33,4.17,-0.84,25.67,12.99,10,50.4,42,9,21.4,38,13,65.8,87.2,43,100,3.309,53.71,17.35,15.3,40.98,31.83,0.39,4.67,-0.67,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,143,Seattle Kraken,NA,11,5,2,2.5,30,31,2.73,2.82,-0.09,23.91,11.41,14,44.3,32,7,21.9,28,9,67.9,89.8,35,95,2.811,36.11,48.98,53.88,43.71,45.67,0.48,5.32,-0.32,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,17,St. Louis Blues,NA,12,3,7,0.43,34,50,2.83,4.17,-1.34,27.75,10.21,8,50.7,34,8,23.5,33,10,69.7,93.2,40,92,3.176,42.49,21.69,20.55,59.42,36.04,0.32,3.78,-0.78,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,1,Tampa Bay Lightning,NA,11,5,4,1.25,31,31,2.82,2.82,0,26.73,10.54,12,44.6,39,6,15.4,37,4,89.2,104.6,54,125,3.383,35.44,62.7,63.43,45.04,51.65,0.5,5.5,-0.5,NA,NA,NA,nhl_team_stats_20251102.csv
2024,11/2/2025,12,Toronto Maple Leafs,NA,12,6,5,1.2,43,44,3.58,3.67,-0.09,29.5,12.15,13,54.5,32,4,12.5,36,6,83.3,95.8,42,90,2.964,54.36,41.68,39.78,53.47,47.32,0.49,5.85,0.15,NA,NA,NA,nhl_team_stats_20251102.csv
