ABB,DIVISION,CONFERENCE,TEAM,NAME,AGE,HEIGHT,WEIGHT,COUNTRY,POSITION,GP,G,A,PTS,GPG,APG,PPG,PLUS_MINUS,PIM,HAT_TRICKS,SOG,SHT_PCT,BLOCKED_SHOTS,HITS,GIVES,TAKES,NET_PUCK_DIFF,POSSESSION,FO_PCT
FLO,Atlantic,Eastern,Florida Panthers,Brad Marchand,37,"5'9""",181,Canada,LW,41,23,23,46,0.56097561,0.56097561,1.12195122,-8,32,7,115,20,16,33,43,13,0.232142857,0.302325581,12.5
PIT,Metropolitan,Eastern,Pittsburgh Penguins,Sidney Crosby,38,"5'11""",200,Canada,C,41,24,23,47,0.585365854,0.56097561,1.146341463,0,30,8,99,24.2,17,35,46,13,0.220338983,0.282608696,56
TBL,Atlantic,Eastern,Tampa Bay Lightning,Brayden Point,29,"5'10""",166,Canada,C,35,10,16,26,0.285714286,0.457142857,0.742857143,0,8,3,77,13,13,4,20,5,0.2,0.25,45.3
WSH,Metropolitan,Eastern,Washington Capitals,Tom Wilson,31,"6'4""",220,Canada,RW,41,22,20,42,0.536585366,0.487804878,1.024390244,20,59,7,97,22.7,24,110,49,11,0.183333333,0.224489796,45.8
EDM,Pacific,Western,Edmonton Oilers,Connor McDavid,28,"6'1""",193,Canada,C,43,28,47,75,0.651162791,1.093023256,1.744186047,2,16,9,161,17.4,18,18,66,14,0.175,0.212121212,47.5
WPJ,Central,Western,Winnipeg Jets,Josh Morrissey,30,"6'0""",195,Canada,D,41,6,27,33,0.146341463,0.658536585,0.804878049,7,16,2,70,8.6,76,21,48,10,0.172413793,0.208333333,0
LAK,Pacific,Western,Los Angeles Kings,Drew Doughty,36,"6'1""",202,Canada,D,35,3,10,13,0.085714286,0.285714286,0.371428571,5,20,1,53,5.7,44,16,46,9,0.163636364,0.195652174,0
NYI,Metropolitan,Eastern,New York Islanders,Bo Horvat,30,"6'0""",215,Canada,C,36,21,12,33,0.583333333,0.333333333,0.916666667,4,32,7,122,17.2,19,26,42,8,0.16,0.19047619,57.6
COL,Central,Western,Colorado Avalanche,Nathan MacKinnon,30,"6'0""",200,Canada,C,42,35,39,74,0.833333333,0.928571429,1.761904762,48,14,11,192,18.2,23,38,85,12,0.12371134,0.141176471,50
SUI,NA,NA,Zurich,Mikko Lehtonen,31,"6'0""",196,Finland,D,26,0,6,6,0,0.230769231,0.230769231,-2,8,0,33,0,15,30,10,8,0.444444444,0.8,0
LAK,Pacific,Western,Los Angeles Kings,Joel Armia,32,"6'4""",218,Finland,RW,41,9,7,16,0.219512195,0.170731707,0.390243902,5,22,3,51,17.6,24,38,33,22,0.4,0.666666667,36.7
DAL,Central,Western,Dallas Stars,Miro Heiskanen,26,"6'1""",190,Finland,D,44,7,29,36,0.159090909,0.659090909,0.818181818,6,14,2,91,7.7,82,9,53,29,0.353658537,0.547169811,0
FLO,Atlantic,Eastern,Florida Panthers,Eetu Luostarinen,27,"6'3""",184,Finland,C,34,4,14,18,0.117647059,0.411764706,0.529411765,0,12,1,55,7.3,26,74,22,10,0.3125,0.454545455,46.4
MTL,Atlantic,Eastern,Montreal Canadiens,Oliver Kapanen,22,"6'2""",194,Finland,C,44,15,11,26,0.340909091,0.25,0.590909091,4,10,0,78,19.2,45,16,16,7,0.304347826,0.4375,46.2
NSH,Central,Western,Nashville Predators,Erik Haula,34,"6'0""",193,Finland,LW,42,7,16,23,0.166666667,0.380952381,0.547619048,-9,26,2,69,10.1,24,54,28,12,0.3,0.428571429,52.3
PHI,Metropolitan,Eastern,Philadelphia Flyers,Rasmus Ristolainen,31,"6'4""",220,Finland,D,10,0,2,2,0,0.2,0.2,3,4,0,19,0,21,13,5,2,0.285714286,0.4,0
CHI,Central,Western,Chicago Blackhawks,Teuvo Teravainen,31,"5'11""",191,Finland,C,42,9,12,21,0.214285714,0.285714286,0.5,-11,4,3,52,17.3,27,17,40,16,0.285714286,0.4,48.6
SEA,Pacific,Western,Seattle Kraken,Eeli Tolvanen,26,"5'10""",191,Finland,RW,40,7,18,25,0.175,0.45,0.625,-7,14,2,69,10.1,43,106,28,10,0.263157895,0.357142857,0
