RANK,PLAYER,NATION,POSITION,SQUAD,AGE,YEAR_BORN,MP,STARTS,PCT_STARTS,MINUTES,90_MINS,G,GPG,A,APG,PTS,PTSPG,G_PK,G_REG,PK,PK_ATT,CRDY,CRDR,TOT_CRDS,XG,XGPG,NPXG,XAG,NPXG_XAG,PRGC,PRGP,PRGR
52,Prisca Chilufya,zm ZAM,"MF,FW",Pride,26-037,1999,11,1,0.090909091,261,2.9,1,0.090909091,0,0,1,0.090909091,1,0,0,0,2,0,2,0.1,0.009090909,0.1,0.4,0.5,21,6,32
110,Shea Groom,us USA,"FW,MF",Chicago Stars,32-133,1993,11,7,0.636363636,623,6.9,1,0.090909091,0,0,1,0.090909091,1,0,0,0,1,0,1,0.4,0.036363636,0.4,1.1,1.5,9,20,23
233,Christen Press,us USA,"FW,DF",Angel City,36-198,1988,11,1,0.090909091,230,2.6,1,0.090909091,0,0,1,0.090909091,1,0,0,0,0,0,0,0.5,0.045454545,0.5,0.2,0.7,7,4,19
48,Deyna Castellanos,ve VEN,"FW,MF",Thorns,26-088,1999,12,8,0.666666667,695,7.7,1,0.083333333,0,0,1,0.083333333,1,0,0,0,1,0,1,1.5,0.125,1.5,1.2,2.7,6,23,32
86,Cori Dyke,us USA,DF,Pride,24-298,2000,12,6,0.5,650,7.2,1,0.083333333,0,0,1,0.083333333,1,0,0,0,0,0,0,0.1,0.008333333,0.1,0.2,0.3,8,43,15
111,Julia Grosso,ca CAN,"MF,FW",Chicago Stars,24-320,2000,12,12,1,992,11,1,0.083333333,0,0,1,0.083333333,1,0,0,0,1,0,1,1,0.083333333,1,0.9,1.9,14,39,31
124,Rachel Hill,us USA,"MF,FW",Bay FC,30-089,1995,12,5,0.416666667,556,6.2,1,0.083333333,0,0,1,0.083333333,1,0,0,0,1,0,1,1.4,0.116666667,1.4,0.6,2.1,12,19,45
128,Shae Holmes,us USA,DF,Reign,25-129,2000,12,5,0.416666667,564,6.3,1,0.083333333,0,0,1,0.083333333,1,0,0,0,1,0,1,0.3,0.025,0.3,0,0.3,2,14,15
130,Jaelin Howell,us USA,MF,Gotham FC,25-236,1999,12,12,1,1079,12,1,0.083333333,0,0,1,0.083333333,1,0,0,0,6,1,7,1.8,0.15,1.8,0.4,2.1,23,42,41
192,Kristen McNabb,us USA,DF,Wave,31-089,1994,12,9,0.75,859,9.5,1,0.083333333,0,0,1,0.083333333,1,0,0,0,1,0,1,0.7,0.058333333,0.7,0,0.7,1,22,3
135,Riley Jackson,us USA,MF,Courage,19-225,2005,13,11,0.846153846,905,10.1,1,0.076923077,0,0,1,0.076923077,1,0,0,1,2,0,2,1.3,0.1,0.6,1.3,1.9,4,54,17
156,Kaleigh Kurtz,us USA,DF,Courage,27-309,1997,13,13,1,1170,13,1,0.076923077,0,0,1,0.076923077,1,0,0,0,0,0,0,0.4,0.030769231,0.4,0.1,0.6,1,40,1
206,Makenna Morris,us USA,"FW,DF",Spirit,23-080,2002,13,10,0.769230769,829,9.2,1,0.076923077,0,0,1,0.076923077,1,0,0,0,0,0,0,1.4,0.107692308,1.4,0.8,2.3,11,26,39
214,Paige Nielsen,us USA,DF,Dash,31-274,1993,13,11,0.846153846,1047,11.6,1,0.076923077,0,0,1,0.076923077,1,0,0,0,1,0,1,1,0.076923077,1,0.1,1.1,14,46,4
256,Ally Schlegel,us USA,"FW,MF",Chicago Stars,25-158,2000,13,11,0.846153846,882,9.8,1,0.076923077,0,0,1,0.076923077,1,0,0,0,1,0,1,1.4,0.107692308,1.4,0.3,1.7,10,35,26
300,Sarah Weber,us USA,"FW,MF",Louisville,22-151,2003,13,6,0.461538462,641,7.1,1,0.076923077,0,0,1,0.076923077,1,0,0,0,0,0,0,1.9,0.146153846,1.9,0.4,2.3,3,11,27
23,Hannah Bebar,us USA,MF,Bay FC,23-313,2001,5,4,0.8,318,3.5,0,0,1,0.2,1,0.2,0,0,0,0,1,0,1,0.1,0.02,0.1,1.1,1.2,4,27,7
26,Malia Berkely,us USA,DF,Courage,27-152,1998,6,6,1,488,5.4,0,0,1,0.166666667,1,0.166666667,0,0,0,0,0,0,0,0.1,0.016666667,0.1,0.3,0.4,3,26,2
274,Meredith Speck,us USA,FW,Courage,32-164,1993,6,2,0.333333333,195,2.2,0,0,1,0.166666667,1,0.166666667,0,0,0,0,0,0,0,0,0,0,0.4,0.4,3,6,35
88,Claire Emslie,sct SCO,"FW,MF",Angel City,31-129,1994,8,7,0.875,519,5.8,0,0,1,0.125,1,0.125,0,0,0,0,0,0,0,1.2,0.15,1.2,1.3,2.5,14,21,41
308,Summer Yates,us USA,MF,Pride,25-028,2000,8,4,0.5,356,4,0,0,1,0.125,1,0.125,0,0,0,0,1,0,1,1.1,0.1375,1.1,2.1,3.1,7,9,16
102,Morgan Gautrat,us USA,MF,Pride,32-139,1993,9,8,0.888888889,534,5.9,0,0,1,0.111111111,1,0.111111111,0,0,0,0,0,0,0,0.8,0.088888889,0.8,1.2,2,3,40,14
20,Lauren Barnes,us USA,DF,Reign,36-045,1989,10,9,0.9,713,7.9,0,0,1,0.1,1,0.1,0,0,0,0,2,0,2,0,0,0,0.6,0.6,4,36,1
121,Oihane Hernández,es ESP,DF,Pride,25-072,2000,10,7,0.7,487,5.4,0,0,1,0.1,1,0.1,0,0,0,0,0,0,0,0.3,0.03,0.3,0.8,1.1,17,17,28
279,Ella Stevens,us USA,MF,Gotham FC,27-216,1997,10,7,0.7,645,7.2,0,0,1,0.1,1,0.1,0,0,0,0,2,0,2,0.9,0.09,0.9,1.6,2.5,14,13,40
30,Camryn Biegalski,us USA,DF,Chicago Stars,26-338,1998,11,9,0.818181818,831,9.2,0,0,1,0.090909091,1,0.090909091,0,0,0,0,1,0,1,0.1,0.009090909,0.1,0.6,0.7,12,25,11
40,Bruninha,br BRA,"DF,MF",Gotham FC,23-029,2002,11,7,0.636363636,633,7,0,0,1,0.090909091,1,0.090909091,0,0,0,0,1,0,1,0,0,0,1.2,1.2,17,43,39
96,Bea Franklin,us USA,"MF,DF",Chicago Stars,24-284,2000,11,10,0.909090909,923,10.3,0,0,1,0.090909091,1,0.090909091,0,0,0,0,0,0,0,0.3,0.027272727,0.3,0.9,1.2,0,22,9
195,Maddie Mercado,us USA,"FW,MF",Reign,24-105,2001,11,4,0.363636364,354,3.9,0,0,1,0.090909091,1,0.090909091,0,0,0,0,0,0,0,0.4,0.036363636,0.4,0.5,0.9,6,10,21
10,Angelina,br BRA,MF,Pride,25-170,2000,12,10,0.833333333,890,9.9,0,0,1,0.083333333,1,0.083333333,0,0,0,0,0,0,0,1.2,0.1,1.2,2.2,3.4,7,46,60
73,Kate Del Fava,us USA,DF,Royals,26-357,1998,13,13,1,1170,13,0,0,1,0.076923077,1,0.076923077,0,0,0,0,1,0,1,0.3,0.023076923,0.3,0.3,0.6,6,69,8
76,Vanessa DiBernardo,us USA,"MF,FW",Current,33-061,1992,13,11,0.846153846,886,9.8,0,0,1,0.076923077,1,0.076923077,0,0,0,0,1,0,1,0.7,0.053846154,0.7,1.4,2.1,19,58,27
132,Taylor Huff,us USA,"MF,FW",Bay FC,22-333,2002,13,13,1,1080,12,0,0,1,0.076923077,1,0.076923077,0,0,0,0,1,0,1,1.9,0.146153846,1.9,1.2,3.1,15,52,47
146,Alanna Kennedy,au AUS,MF,Angel City,30-175,1995,13,13,1,1077,12,0,0,1,0.076923077,1,0.076923077,0,0,0,0,0,0,0,1.2,0.092307692,1.2,0.7,1.9,4,44,12
