"MATCH_ID","Team","Opponent","Venue","xG","xG_Opp","Goals","OppGoals","Win_Flag","Draw_Flag","xG_Diff","Home_Flag","Pred_Win_Prob_basic","Pred_Win_Prob_home"
212,"Reign","Pride","HOME",1.3,1.5,0,1,0,0,-0.2,0,0.367229952863915,0.367229952863915
213,"Louisville","Spirit","HOME",0.9,0.6,0,2,0,0,0.3,0,0.481119710288976,0.481119710288976
214,"Royals","Thorns","HOME",0.8,2.4,0,1,0,0,-1.6,0,0.135159233457417,0.135159233457417
215,"Bay FC","Chicago Stars","HOME",1.7,1.5,1,2,0,0,0.2,0,0.457783392069402,0.457783392069402
216,"Gotham FC","Courage","HOME",2.4,0.7,3,1,1,0,1.7,0,0.774939529452288,0.774939529452288
217,"Wave","Current","HOME",0.6,1.1,0,2,0,0,-0.5,0,0.304649114812119,0.304649114812119
218,"Louisville","Wave","HOME",1.4,0.7,1,4,0,0,0.7,0,0.574269512671443,0.574269512671443
219,"Pride","Spirit","HOME",1.6,1.4,0,1,0,0,0.2,0,0.457783392069402,0.457783392069402
220,"Current","Dash","HOME",1.6,0.6,2,0,1,0,1,0,0.641166204350392,0.641166204350392
221,"Reign","Thorns","HOME",1.1,1.2,1,0,1,0,-0.0999999999999999,0,0.3892641211852,0.3892641211852
222,"Courage","Bay FC","HOME",0.3,0.5,0,1,0,0,-0.2,0,0.367229952863915,0.367229952863915
223,"Royals","Chicago Stars","HOME",1,0.5,1,0,1,0,0.5,0,0.527937776950742,0.527937776950742
224,"Angel City","Gotham FC","HOME",0.5,1.3,0,4,0,0,-0.8,0,0.248543959860245,0.248543959860245
225,"Thorns","Gotham FC","HOME",2.1,0.7,4,1,1,0,1.4,0,0.722175549795043,0.722175549795043
226,"Spirit","Gotham FC","HOME",2.6,1.9,0,3,0,0,0.7,0,0.574269512671443,0.574269512671443
227,"Chicago Stars","Wave","HOME",0.7,0.9,0,3,0,0,-0.2,0,0.367229952863915,0.367229952863915
228,"Dash","Royals","HOME",1,1,1,0,1,0,0,0,0.411760054732995,0.411760054732995
