HOME_TEAM,XG_HOME,SCORE,XG_AWAY,AWAY_TEAM
Reign,1.6,2–3,1.4,Pride
Gotham FC,1.9,2–1,1.2,Red Stars
Current,2,3–3,0.5,Louisville
Pride,2.4,2–1,2.5,Thorns
Angel City,1.1,0–0,1.9,Wave
Spirit,2.2,3–2,1,Reign
Red Stars,1.4,0–1,2.1,Louisville
Bay FC,0.8,0–2,2.1,Gotham FC
Dash,1.7,3–0,1,Courage
Royals,0.3,0–1,3.9,Current
Gotham FC,1.9,2–1,0.5,Angel City
Royals,0.8,0–1,1.4,Spirit
Red Stars,1.2,1–2,3.2,Bay FC
Wave,1,1–1,0.6,Pride
Louisville,1.3,2–0,1.5,Dash
Current,2.9,5–2,1.9,Reign
Thorns,1.4,1–0,0.4,Courage
Louisville,0.4,0–2,1.2,Gotham FC
Current,2.2,2–2,0.3,Red Stars
Spirit,1.5,1–1,1,Wave
Courage,1,0–0,2,Pride
Reign,0.5,0–0,0.7,Thorns
Dash,0.7,0–0,2,Angel City
Bay FC,0.8,0–1,0.8,Royals
Gotham FC,0.9,2–1,0.3,Wave
Angel City,1.5,3–2,2,Louisville
Dash,0.6,0–0,0.5,Wave
Pride,3.9,6–0,0.4,Royals
Thorns,0.7,1–4,2.2,Current
Reign,2,1–1,0.7,Louisville
Gotham FC,1.2,0–2,1.6,Spirit
Courage,1.2,3–1,0.7,Red Stars
Bay FC,1.1,1–0,1.2,Angel City
Louisville,0.5,0–1,1.2,Bay FC
Wave,2.1,0–3,1.7,Red Stars
Current,3.1,2–0,0.3,Dash
Spirit,1.3,0–1,0.4,Courage
Gotham FC,1.1,1–1,0.7,Reign
Angel City,1.2,0–3,2.4,Pride
Royals,1.8,0–0,0.9,Thorns
Red Stars,0.9,1–0,0.8,Dash
Current,1.4,1–2,2.1,Pride
Thorns,2.4,1–0,1,Wave
Reign,2.4,1–1,1.6,Royals
Courage,1.9,3–1,0.8,Louisville
Angel City,1.6,1–2,2.6,Gotham FC
Bay FC,1.4,0–3,2.4,Spirit
Wave,0.9,1–2,2.7,Angel City
Gotham FC,1,2–0,0.4,Thorns
Dash,1.3,0–1,2.6,Pride
Louisville,2,3–1,0.6,Red Stars
Royals,0.8,2–1,1.4,Bay FC
Spirit,0.6,4–1,0.9,Current
Reign,2.1,1–0,0.4,Courage
Thorns,1.1,1–3,2.3,Bay FC
Louisville,2,2–3,1,Reign
Angel City,1.4,2–1,1.3,Red Stars
Courage,1.4,2–1,2.2,Current
Pride,0.8,2–0,0.8,Gotham FC
Dash,1.7,1–3,3.4,Royals
Wave,0.6,1–1,2.1,Spirit
Spirit,3.3,2–1,1.8,Thorns
Current,1.8,1–0,1.2,Royals
Angel City,1.3,2–3,2.4,Reign
Gotham FC,1.6,2–1,0.6,Dash
Red Stars,0.1,0–1,1.3,Pride
Bay FC,1.5,1–0,1.1,Louisville
Wave,1.4,1–4,2.1,Courage
Courage,0.7,1–1,2.1,Bay FC
Thorns,0.8,0–1,1.9,Red Stars
Louisville,0.5,2–1,1.2,Angel City
Pride,0.7,0–0,1,Current
Spirit,2.2,3–0,0.8,Dash
Royals,1.1,1–2,1.5,Wave
Reign,0.3,0–2,1.1,Gotham FC
Current,1,3–0,0.6,Spirit
Louisville,2.6,2–1,1.2,Courage
Bay FC,1,0–1,1.3,Pride
Gotham FC,0.7,1–0,0.7,Royals
Dash,0.8,1–0,1.3,Reign
Red Stars,1.3,1–0,3.4,Wave
Angel City,1.6,2–2,1.6,Thorns
Current,2.6,1–1,1.1,Gotham FC
Royals,2.1,1–0,1.1,Louisville
Angel City,1.7,1–2,1.7,Spirit
Pride,3.2,3–1,1.2,Dash
Reign,0.6,0–1,2.1,Bay FC
Red Stars,1.2,1–3,1,Courage
Wave,1.7,2–0,1,Thorns
Courage,2.1,2–1,2.5,Wave
Reign,0.6,0–1,1.2,Angel City
Dash,3,0–2,1.8,Red Stars
Gotham FC,4,5–1,1.6,Bay FC
Louisville,0.6,0–2,1.4,Current
Pride,1.5,2–0,1,Spirit
Thorns,2,1–2,1.7,Royals
Red Stars,0.2,0–2,2.2,Gotham FC
Thorns,1.3,2–0,0.5,Pride
Courage,1.6,1–1,1,Angel City
Royals,2.5,3–0,0.1,Reign
Spirit,3.4,4–1,1.4,Louisville
Bay FC,0.8,0–1,1.3,Current
Wave,1.1,0–2,1.5,Dash
Current,2.5,4–1,0.8,Wave
Reign,1.6,2–1,1.5,Dash
Louisville,0.9,1–0,1,Thorns
Angel City,1.2,1–1,1.4,Royals
Spirit,2.5,2–0,0.6,Red Stars
Gotham FC,2,3–1,1.9,Pride
Bay FC,1.7,1–0,0.7,Courage
Pride,2.9,3–2,1.4,Reign
Thorns,1.5,3–0,0.9,Angel City
Royals,1.1,1–4,3.4,Gotham FC
Courage,0.4,0–1,0.7,Spirit
Red Stars,1.3,1–3,1.9,Current
Wave,1.8,3–1,1.8,Louisville
Dash,1.1,2–3,2.1,Bay FC
Current,1.7,1–0,1.4,Courage
Pride,4.9,4–1,1.2,Red Stars
Spirit,1.7,2–1,1.5,Bay FC
Gotham FC,0.8,2–1,0.7,Thorns
Spirit,2,1–1,0.8,Gotham FC
Pride,2.4,3–2,2.6,Current
Pride,0.4,1–0,1.8,Spirit
Current,1.9,3–1,1.2,Thorns
Royals,1,1–1,0.8,Bay FC
Dash,1,1–2,1.4,Spirit
Pride,2.1,6–0,1.1,Chicago Stars
Angel City,0.7,1–1,1.3,Wave
Reign,0.7,1–1,1.4,Gotham FC
Louisville,1.7,1–1,1.2,Courage
Thorns,1.7,1–1,0.5,Angel City
Courage,1.3,1–2,1.1,Reign
Spirit,1.2,0–2,3.1,Current
Chicago Stars,1.1,1–2,2.2,Dash
Gotham FC,1.1,0–2,1,Pride
Wave,2.2,3–2,1.1,Royals
Bay FC,0.9,2–0,1.4,Louisville
Pride,1.8,2–1,0.3,Wave
Current,3.1,3–0,0.2,Royals
Dash,0.1,0–0,0.4,Gotham FC
Spirit,1.1,2–0,1.3,Bay FC
Chicago Stars,0.9,0–1,1.8,Louisville
Thorns,1.7,0–0,2.2,Courage
Angel City,1.4,2–1,1.5,Reign
Dash,1.8,1–3,1.6,Angel City
Reign,1.3,0–1,1.5,Pride
Louisville,0.9,0–2,0.6,Spirit
Royals,0.8,0–1,2.4,Thorns
Bay FC,1.7,1–2,1.5,Chicago Stars
Gotham FC,2.4,3–1,0.7,Courage
Wave,0.6,0–2,1.1,Current
Louisville,1.4,1–4,0.7,Wave
Pride,1.6,0–1,1.4,Spirit
Current,1.6,2–0,0.6,Dash
Reign,1.1,1–0,1.2,Thorns
Courage,0.3,0–1,0.5,Bay FC
Royals,1,1–0,0.5,Chicago Stars
Angel City,0.5,0–4,1.3,Gotham FC
Thorns,2.1,4–1,0.7,Gotham FC
Spirit,2.6,0–3,1.9,Gotham FC
Chicago Stars,0.7,0–3,0.9,Wave
Dash,1,1–0,1,Royals
Courage,1.2,3–2,1.1,Current
Pride,1.3,3–2,0.8,Angel City
Thorns,2.3,3–3,2.9,Louisville
Bay FC,0.6,1–1,1.1,Reign
Thorns,1.6,1–0,1,Pride
Dash,1,1–2,0.8,Louisville
Reign,0.3,1–0,0.7,Current
Spirit,2.4,3–4,2.3,Angel City
Gotham FC,1.2,0–0,0.2,Chicago Stars
Royals,0.6,0–2,2.9,Courage
Wave,1.9,2–1,0.8,Bay FC
Chicago Stars,2.1,2–3,1.5,Spirit
Courage,1,1–1,2,Pride
Angel City,1.8,2–0,1,Royals
Louisville,0.7,1–0,1,Gotham FC
Current,2.5,4–1,0.7,Bay FC
Wave,0.6,1–1,2.7,Thorns
Reign,0.6,0–1,1,Dash
Louisville,1.1,0–1,0.6,Reign
Gotham FC,0.5,0–1,0.3,Wave
Courage,1.4,2–0,0.9,Chicago Stars
Dash,1,1–4,1.6,Thorns
Spirit,3.9,3–3,0.7,Royals
Pride,1.4,0–1,1,Current
Bay FC,1.3,2–0,1.1,Angel City
Chicago Stars,0.1,1–3,1.9,Current
Reign,0.7,1–2,2.3,Spirit
Royals,0.7,1–3,3.8,Pride
Angel City,1.6,2–3,1.5,Louisville
Dash,0.8,2–2,2.2,Bay FC
Wave,1.6,5–2,1.8,Courage
Louisville,1.9,3–2,1.1,Royals
Gotham FC,0.9,1–2,1.9,Current
Bay FC,0.9,1–0,1.1,Thorns
Pride,1.4,1–0,0.6,Dash
Wave,0.9,1–2,0.6,Reign
Spirit,1.5,3–1,2.6,Courage
Angel City,1.5,2–2,0.5,Chicago Stars
Chicago Stars,1,2–2,1.1,Reign
Current,2.1,4–2,1.1,Louisville
Bay FC,1.7,0–1,0.4,Pride
Dash,0.8,2–3,1.9,Wave
Royals,0.6,0–3,1.6,Gotham FC
Thorns,1.5,2–0,1.2,Spirit
Angel City,1.4,1–2,2.9,Courage
Royals,1.8,1–4,2.2,Reign
Current,2.1,1–0,0.8,Angel City
Gotham FC,0.9,2–1,2.8,Bay FC
Courage,2.1,2–1,0.5,Dash
Louisville,2.5,2–0,0.9,Pride
Thorns,0.9,1–0,0.3,Chicago Stars
Wave,0.8,0–0,0.8,Spirit
Chicago Stars,1.3,1–1,1.4,Gotham FC
Reign,0.8,2–0,0.4,Angel City
Courage,0.2,0–0,1.1,Wave
Louisville,0.4,0–2,1.8,Current
Spirit,2,2–1,1.3,Thorns
Pride,1.8,1–1,0.4,Royals
Bay FC,3.6,2–2,1.7,Dash
Gotham FC,0.3,0–0,1.1,Spirit
Dash,1,2–1,1.7,Courage
Pride,2.8,1–1,0.8,Louisville
Royals,0.6,0–1,1.1,Current
Thorns,4.5,4–2,1,Reign
Chicago Stars,1,1–1,1.5,Bay FC
Wave,1,1–1,1.1,Angel City
Royals,1.1,0–0,0.4,Angel City
Spirit,1,2–2,1.2,Louisville
