Season,Wk,Home_Team,xG_Home,Score,xG_Away,Away_Team,Attendance,Venue,Referee
2025,5,Courage,0.3,0–1,0.5,Bay FC,7049,First Horizon Stadium at WakeMed Soccer ...,Iryna Petrunok
2025,5,Royals,1,1–0,0.5,Chicago Stars,17085,America First Field,John Matto
2025,5,Angel City,0.5,0–4,1.3,Gotham FC,18465,BMO Stadium,Danielle Chesky
2025,6,Thorns,2.1,4–1,0.7,Gotham FC,15373,Providence Park,John Griggs
2025,6,Spirit,2.6,0–3,1.9,Gotham FC,16443,Audi Field,Abdou Ndiaye
2025,6,Chicago Stars,0.7,0–3,0.9,Wave,2246,SeatGeek Stadium,Danielle Chesky
2025,6,Dash,1,1–0,1,Royals,5084,Shell Energy Stadium,Adorae Monroy
2025,6,Courage,1.2,3–2,1.1,Current,6235,First Horizon Stadium at WakeMed Soccer ...,Shawn Tehini
2025,6,Pride,1.3,3–2,0.8,Angel City,6665,Inter&Co Stadium,Matthew Thompson
2025,7,Thorns,2.3,3–3,2.9,Louisville,16219,Providence Park,Corbyn May
2025,6,Bay FC,0.6,1–1,1.1,Reign,11564,PayPal Park,Katja Koroleva
2025,7,Thorns,1.6,1–0,1,Pride,17776,Providence Park,Nabil Bensalah
2025,7,Dash,1,1–2,0.8,Louisville,5765,Shell Energy Stadium,Marie Durr
2025,7,Reign,0.3,1–0,0.7,Current,5912,Lumen Field,Calin Radosav
2025,7,Spirit,2.4,3–4,2.3,Angel City,13738,Audi Field,Shawn Tehini
2025,7,Gotham FC,1.2,0–0,0.2,Chicago Stars,7330,Sports Illustrated Stadium,Adorae Monroy
2025,7,Royals,0.6,0–2,2.9,Courage,7371,America First Field,Laura Rodriguez
2025,8,Wave,1.9,2–1,0.8,Bay FC,11206,Snapdragon Stadium,Elvis Osmanovic
2025,8,Chicago Stars,2.1,2–3,1.5,Spirit,3425,SeatGeek Stadium,Trevor Wiseman
