Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,PTSPG,APG,GPG,EVG,PPG,SHG,GWG,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
552,Stephen Halliday,23,OTT,C,30,4,7,11,0,2,0.366666667,0.233333333,0.133333333,4,0,0,0,34,11.8,58,255:19:00,8:31,26,41,38.8,8,30,2,16
553,Albert Johansson,25,DET,D,82,3,8,11,-18,16,0.134146341,0.097560976,0.036585366,2,0,1,1,61,4.9,173,1307:04:00,15:56,0,0,,93,56,23,57
554,Mathieu Joseph,28,2TM,RW,51,2,9,11,-7,9,0.215686275,0.176470588,0.039215686,1,0,1,1,36,5.6,86,611:22:00,11:59,5,15,25,34,115,14,25
554,Mathieu Joseph,28,STL,RW,39,2,9,11,-5,4,0.282051282,0.230769231,0.051282051,1,0,1,1,29,6.9,67,494:37:00,12:41,4,11,26.7,28,85,10,23
554,Mathieu Joseph,28,LAK,RW,12,0,0,0,-2,5,0,0,0,0,0,0,0,7,0,19,116:45:00,9:44,1,4,20,6,30,4,2
555,Timothy Liljegren,26,2TM,D,47,1,10,11,-7,29,0.234042553,0.212765957,0.021276596,1,0,0,0,39,2.6,113,933:02:00,19:51,0,0,,90,38,9,50
555,Timothy Liljegren,26,SJS,D,43,1,10,11,-7,27,0.255813953,0.23255814,0.023255814,1,0,0,0,34,2.9,98,865:23:00,20:08,0,0,,83,36,6,47
555,Timothy Liljegren,26,WSH,D,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0,15,67:39:00,16:55,0,0,,7,2,3,3
556,Nils Lundkvist,25,DAL,D,52,3,8,11,12,16,0.211538462,0.153846154,0.057692308,3,0,0,0,46,6.5,128,857:02:00,16:29,0,0,,48,26,8,49
557,Niko Mikkola,29,FLA,D,68,3,8,11,-1,47,0.161764706,0.117647059,0.044117647,3,0,0,0,68,4.4,173,1384:11:00,20:21,0,0,,81,116,16,73
558,Colton Sissons,32,VEG,C,66,6,5,11,-11,28,0.166666667,0.075757576,0.090909091,6,0,0,2,74,8.1,136,824:49:00,12:30,347,267,56.5,46,93,12,30
559,Nico Sturm,30,MIN,C,49,5,6,11,0,16,0.224489796,0.12244898,0.102040816,4,0,1,0,38,13.2,73,536:10:00,10:57,205,167,55.1,19,55,10,20
560,Alexey Toropchenko,26,STL,RW,65,4,7,11,-11,28,0.169230769,0.107692308,0.061538462,3,0,1,0,68,5.9,113,779:24:00,11:59,4,2,66.7,56,132,8,30
561,Ryan Ufko,22,NSH,D,18,2,9,11,0,6,0.611111111,0.5,0.111111111,2,0,0,1,11,18.2,33,249:54:00,13:53,0,0,,13,10,3,12
562,Nathan Walker,31,STL,C,46,4,7,11,-9,28,0.239130435,0.152173913,0.086956522,4,0,0,1,38,10.5,71,551:32:00,11:59,56,47,54.4,35,179,3,26
563,Tyler Myers,35,2TM,D,73,1,10,11,-23,52,0.150684932,0.136986301,0.01369863,1,0,0,0,88,1.1,194,1424:45:00,19:31,0,0,,121,85,20,78
563,Tyler Myers,35,VAN,D,57,1,7,8,-25,40,0.140350877,0.122807018,0.01754386,1,0,0,0,71,1.4,164,1152:12:00,20:13,0,0,,91,65,20,60
563,Tyler Myers,35,DAL,D,16,0,3,3,2,12,0.1875,0.1875,0,0,0,0,0,17,0,30,272:33:00,17:02,0,0,,30,20,0,18
564,Rodrigo Abols,30,PHI,C,42,3,7,10,-1,22,0.238095238,0.166666667,0.071428571,2,0,1,0,43,7,88,441:02:00,10:30,158,145,52.1,24,49,11,14
565,Zakhar Bardakov,24,COL,C,60,1,9,10,6,14,0.166666667,0.15,0.016666667,1,0,0,0,35,2.9,79,432:16:00,7:12,73,99,42.4,22,50,7,27
566,Maxwell Crozier,25,TBL,D,35,1,9,10,7,40,0.285714286,0.257142857,0.028571429,1,0,0,0,46,2.2,101,560:24:00,16:01,0,0,,31,39,5,21
567,Cole Hutson,19,WSH,D,14,3,7,10,-3,8,0.714285714,0.5,0.214285714,2,1,0,0,22,13.6,52,244:24:00,17:27,0,0,,6,16,8,13
568,Noah Juulsen,28,PHI,D,52,1,9,10,3,15,0.192307692,0.173076923,0.019230769,1,0,0,0,26,3.8,84,718:26:00,13:49,0,0,,45,104,10,53
