SEASON,RANK,PLAYER,AGE,TEAM,POSITION,GP,G,A,PTS,PLUS_MIN,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO_PCT,BLK,HIT,TAKE,GIVE
2021_2022,82,Nico Hischier,23,NJD,C,70,21,39,60,-1,17,17,4,0,2,29,8,2,153,13.7,270,1354:05:00,19:21,730,672,52.1,48,50,45,31
2021_2022,83,Blake Wheeler,35,WPG,RW,65,17,43,60,-15,36,14,3,0,2,26,17,0,167,10.2,263,1270:01:00,19:32,4,17,19,37,62,32,36
2021_2022,84,Mathew Barzal,24,NYI,C,73,15,44,59,-15,18,14,1,0,1,25,19,0,161,9.3,252,1315:26:00,18:01,234,271,46.3,17,36,43,82
2021_2022,85,Alex Killorn,32,TBL,C,82,25,34,59,1,66,19,6,0,2,26,8,0,164,15.2,273,1532:44:00,18:42,2,10,16.7,26,88,42,30
2021_2022,86,Gabriel Landeskog,29,COL,LW,51,30,29,59,27,78,23,7,0,5,21,8,0,150,20,251,1036:12:00,20:19,241,198,54.9,34,94,17,29
2021_2022,87,Brock Nelson,30,NYI,C,72,37,22,59,-5,33,26,11,0,5,19,3,0,171,21.6,279,1272:52:00,17:41,476,488,49.4,43,31,49,43
2021_2022,88,Nick Schmaltz,25,ARI,C,63,23,36,59,1,14,19,4,0,4,32,4,0,123,18.7,212,1149:33:00,18:15,114,125,47.7,28,15,52,42
2021_2022,89,Anthony Duclair,26,FLA,LW,74,31,27,58,19,30,22,9,0,5,15,12,0,167,18.6,253,1109:45:00,0.625,1,1,50,16,38,37,55
2021_2022,90,Ryan O'Reilly,30,STL,C,78,21,37,58,11,12,12,9,0,0,29,7,1,168,12.5,252,1488:18:00,19:05,900,685,56.8,38,20,50,26
2021_2022,91,Brayden Point,25,TBL,C,66,28,30,58,-5,33,18,10,0,4,18,12,0,176,15.9,291,1284:29:00,19:28,366,351,51,27,75,33,24
2021_2022,92,Bryan Rust,29,PIT,RW,60,24,34,58,7,14,15,9,0,1,22,12,0,180,13.3,302,1126:13:00,18:46,1,5,16.7,24,43,22,36
2021_2022,93,Brayden Schenn,30,STL,C,62,24,34,58,21,33,17,7,0,3,24,10,0,111,21.6,197,1102:39:00,17:47,284,295,49.1,17,119,42,28
2021_2022,94,Tim Stützle,20,OTT,LW,79,22,36,58,-27,37,14,7,1,4,17,19,0,176,12.5,313,1454:30:00,18:25,180,293,38.1,52,125,38,51
2021_2022,95,Oliver Bjorkstrand,26,CBJ,RW,80,28,29,57,-35,16,19,9,0,1,19,10,0,215,13,402,1435:59:00,17:57,10,13,43.5,31,85,57,33
2021_2022,96,Aaron Ekblad,25,FLA,D,61,15,42,57,38,26,12,3,0,2,22,17,3,180,8.3,317,1520:12:00,24:55:00,0,0,,69,62,43,73
2021_2022,97,David Perron,33,STL,LW,67,27,30,57,8,48,16,11,0,2,15,15,0,177,15.3,319,1138:05:00,16:59,1,3,25,11,80,37,18
2021_2022,98,Lucas Raymond,19,DET,LW,82,23,34,57,-32,16,18,5,0,2,21,13,0,184,12.5,287,1488:52:00,18:09,12,19,38.7,24,62,26,36
2021_2022,99,Devon Toews,27,COL,D,66,13,44,57,52,20,11,2,0,3,34,10,0,158,8.2,267,1674:22:00,25:22:00,0,0,,85,54,45,34
2021_2022,100,Logan Couture,32,SJS,C,77,23,33,56,-11,18,16,5,2,3,20,12,1,199,11.6,314,1457:49:00,18:56,621,654,48.7,58,92,62,31
2021_2022,101,Jack Hughes,20,NJD,C,49,26,30,56,-16,0,20,6,0,2,22,8,0,165,15.8,296,958:44:00,19:34,122,231,34.6,15,6,49,60
2021_2022,102,Patrik Laine,23,CBJ,RW,56,26,30,56,-7,24,21,5,0,7,21,9,0,167,15.6,317,1054:27:00,18:50,14,24,36.8,13,34,27,52
2021_2022,103,Charlie McAvoy,24,BOS,D,78,10,46,56,31,66,5,4,1,5,29,17,0,166,6,295,1921:44:00,24:38:00,0,0,,130,155,29,65
2021_2022,104,Nikolaj Ehlers,25,WPG,LW,62,28,27,55,18,20,24,4,0,2,22,5,0,245,11.4,450,1120:21:00,18:04,2,1,66.7,27,32,41,44
2021_2022,105,Andrew Mangiapane,25,CGY,LW,82,35,20,55,20,38,25,8,2,8,16,3,1,185,18.9,300,1289:37:00,15:44,21,34,38.2,32,73,52,42
2021_2022,106,Joshua Norris,22,OTT,C,66,35,20,55,-7,16,19,16,0,8,13,7,0,172,20.3,319,1226:13:00,18:35,529,507,51.1,44,79,24,32
2021_2022,107,Carter Verhaeghe,26,FLA,C,78,24,31,55,24,48,24,0,0,4,28,3,0,167,14.4,312,1252:08:00,16:03,19,10,65.5,16,50,63,47
2021_2022,108,Brent Burns,36,SJS,D,82,10,44,54,-15,42,6,4,0,0,29,14,1,203,4.9,446,2144:02:00,26:09:00,0,1,0,150,55,68,97
2021_2022,109,Zach Hyman,29,EDM,C,76,27,27,54,-9,36,21,5,1,4,19,5,3,213,12.7,353,1479:20:00,19:28,41,44,48.2,31,74,29,33
2021_2022,110,Adrian Kempe,25,LAK,LW,78,35,19,54,-2,46,26,6,3,7,9,10,0,247,14.2,443,1449:32:00,18:35,25,25,50,28,111,34,43
2021_2022,111,Ryan Strome,28,NYR,C,74,21,33,54,15,69,15,5,1,5,24,9,0,161,13,257,1355:31:00,18:19,363,455,44.4,19,41,32,37
2021_2022,112,Rasmus Dahlin,21,BUF,D,80,13,40,53,-22,68,10,3,0,3,21,18,1,170,7.6,321,1921:09:00,24:01:00,0,0,,91,121,27,51
2021_2022,113,Gustav Nyquist,32,CBJ,RW,82,18,35,53,-12,26,10,4,4,0,29,6,0,122,14.8,208,1462:56:00,17:50,14,16,46.7,51,41,46,25
2021_2022,114,Andrew Copp,27,2TM,C,72,21,32,53,15,16,16,3,2,5,24,7,1,183,11.5,283,1380:52:00,19:11,377,332,53.2,41,45,34,43
2021_2022,114,Andrew Copp,27,WPG,C,56,13,22,35,2,8,9,3,1,3,15,6,1,151,8.6,234,1108:32:00,19:48,312,266,54,36,35,30,33
2021_2022,114,Andrew Copp,27,NYR,C,16,8,10,18,13,8,7,0,1,2,9,1,0,32,25,49,272:20:00,17:01,65,66,49.6,5,10,4,10
2021_2022,115,Conor Garland,25,VAN,RW,77,19,33,52,18,36,18,1,0,3,31,2,0,203,9.4,331,1263:20:00,16:24,5,5,50,22,52,50,36
2021_2022,116,Bo Horvat,26,VAN,C,70,31,21,52,3,40,17,13,1,4,15,6,0,194,16,303,1365:47:00,19:31,841,634,57,45,96,32,25
2021_2022,117,Phil Kessel,34,ARI,RW,82,8,44,52,-24,40,6,2,0,0,32,12,0,175,4.6,310,1367:33:00,16:41,4,8,33.3,21,6,39,53
2021_2022,118,Travis Konecny,24,PHI,C,79,16,36,52,-23,77,13,3,0,3,29,7,0,220,7.3,382,1391:27:00,17:37,13,18,41.9,34,80,22,28
2021_2022,119,Valeri Nichushkin,26,COL,RW,62,25,27,52,21,14,18,5,2,5,23,4,0,180,13.9,264,1179:37:00,19:02,0,5,0,27,89,38,24
2021_2022,120,Shea Theodore,26,VEG,D,78,14,38,52,6,24,13,1,0,5,27,11,0,205,6.8,417,1804:27:00,23:08,0,0,,97,37,60,58
2021_2022,121,Tom Wilson,27,WSH,RW,78,24,28,52,13,98,18,4,2,5,21,6,1,151,15.9,279,1449:25:00,18:35,22,30,42.3,55,240,36,44
2021_2022,122,Phillip Danault,28,LAK,C,79,27,24,51,14,38,25,2,0,5,19,2,3,194,13.9,299,1431:56:00,18:08,676,586,53.6,49,74,22,29
2021_2022,123,Tony DeAngelo,26,CAR,D,64,10,41,51,30,56,8,2,0,2,23,18,0,151,6.6,264,1267:45:00,19:49,0,0,,59,41,27,39
2021_2022,124,Noah Dobson,22,NYI,D,80,13,38,51,-3,18,10,3,0,4,19,19,0,190,6.8,401,1716:52:00,21:28,0,0,,154,78,27,82
2021_2022,125,Shayne Gostisbehere,28,ARI,D,82,14,37,51,-23,26,12,2,0,2,20,17,0,151,9.3,314,1819:37:00,22:11,0,0,,115,60,44,78
2021_2022,126,Seth Jones,27,CHI,D,78,5,46,51,-37,28,5,0,0,0,26,19,1,194,2.6,365,2044:44:00,26:13:00,0,0,,155,99,34,71
2021_2022,127,Alexander Kerfoot,27,TOR,C,82,13,38,51,19,20,13,0,0,1,34,1,3,117,11.1,193,1247:36:00,15:13,76,102,42.7,65,75,36,40
2021_2022,128,Vincent Trocheck,28,CAR,C,81,21,30,51,21,78,15,6,0,3,24,6,0,168,12.5,300,1447:47:00,17:52,680,565,54.6,46,185,50,42
2021_2022,129,Rasmus Andersson,25,CGY,D,82,4,46,50,30,28,2,2,0,1,28,17,1,152,2.6,289,1859:19:00,22:40,0,0,,125,63,24,44
2021_2022,130,Cam Atkinson,32,PHI,RW,73,23,27,50,-2,10,18,2,3,6,24,3,0,215,10.7,331,1331:59:00,18:15,5,12,29.4,45,20,37,28
2021_2022,131,Jared McCann,25,SEA,C,74,27,23,50,-26,33,18,8,1,1,14,9,0,199,13.6,353,1194:13:00,16:08,224,268,45.5,29,65,43,37
2021_2022,132,Ryan Nugent-Hopkins,28,EDM,C,63,11,39,50,3,16,7,1,3,1,15,22,2,154,7.1,231,1217:03:00,19:19,178,259,40.7,34,42,43,34
2021_2022,133,Moritz Seider,20,DET,D,82,7,43,50,-9,34,5,2,0,4,22,19,2,187,3.7,355,1889:22:00,23:02,0,0,,161,151,41,48
2021_2022,134,Viktor Arvidsson,28,LAK,LW,66,20,29,49,1,22,16,4,0,3,25,4,0,227,8.8,412,1120:38:00,16:59,12,21,36.4,45,23,24,16
2021_2022,135,Sam Bennett,25,FLA,C,71,28,21,49,27,74,23,5,0,7,16,4,1,241,11.6,398,1202:57:00,16:57,411,466,46.9,27,119,41,49
2021_2022,136,Joel Eriksson Ek,25,MIN,C,77,26,23,49,16,28,14,12,0,3,18,5,0,223,11.7,330,1430:31:00,18:35,697,768,47.6,44,138,30,12
2021_2022,137,Victor Olofsson,26,BUF,RW,72,20,29,49,-16,6,13,7,0,6,23,5,1,164,12.2,293,1107:33:00,15:23,0,1,0,15,10,18,18
2021_2022,138,Ondřej Palát,30,TBL,LW,77,18,31,49,15,20,17,1,0,5,25,5,1,143,12.6,248,1270:15:00,16:30,2,16,11.1,42,124,30,25
2021_2022,139,Brandon Saad,29,STL,LW,78,24,25,49,11,10,15,8,1,1,18,5,2,158,15.2,236,1269:10:00,16:16,8,11,42.1,20,20,45,25
2021_2022,140,Tyler Seguin,30,DAL,C,81,24,25,49,-21,30,21,3,0,2,15,10,0,218,11,345,1443:18:00,17:49,464,364,56,33,96,26,48
2021_2022,141,Tyler Toffoli,29,2TM,C,74,20,29,49,-5,14,10,8,2,1,20,8,1,195,10.3,329,1206:27:00,16:18,18,16,52.9,24,81,27,35
2021_2022,141,Tyler Toffoli,29,MTL,C,37,9,17,26,-8,4,4,4,1,0,13,4,0,100,9,168,648:15:00,17:31,5,8,38.5,14,46,15,18
2021_2022,141,Tyler Toffoli,29,CGY,C,37,11,12,23,3,10,6,4,1,1,7,4,1,95,11.6,161,558:12:00,15:05,13,8,61.9,10,35,12,17
2021_2022,142,Yanni Gourde,30,SEA,C,74,21,27,48,-13,45,17,3,1,3,20,4,3,127,16.5,245,1367:46:00,18:29,444,453,49.5,31,77,54,38
2021_2022,143,Noah Hanifin,25,CGY,D,81,10,38,48,27,19,9,1,0,1,25,12,1,189,5.3,397,1725:31:00,21:18,0,0,,84,63,38,62
2021_2022,144,Trevor Moore,26,LAK,LW,81,17,31,48,20,20,11,1,5,1,29,1,1,202,8.4,341,1270:41:00,15:41,28,39,41.8,32,69,30,17
2021_2022,145,Dylan Strome,24,CHI,C,69,22,26,48,-6,28,17,5,0,2,15,11,0,126,17.5,183,1203:24:00,17:26,460,419,52.3,33,11,47,22
2021_2022,146,Zach Werenski,24,CBJ,D,68,11,37,48,-15,22,7,4,0,2,26,10,1,216,5.1,428,1744:48:00,25:40:00,0,0,,95,33,39,39
2021_2022,147,Justin Faulk,29,STL,D,76,16,31,47,41,43,15,1,0,6,25,6,0,167,9.6,318,1762:40:00,23:12,0,0,,101,149,37,40
2021_2022,148,John Klingberg,29,DAL,D,74,6,41,47,-28,34,5,1,0,2,22,19,0,139,4.3,361,1643:28:00,22:13,0,0,,77,57,16,86
2021_2022,149,Mason Marchment,26,FLA,F,54,18,29,47,29,53,17,1,0,2,28,1,0,121,14.9,207,762:24:00,14:07,11,29,27.5,9,114,25,17
2021_2022,150,Jamie Benn,32,DAL,LW,82,18,28,46,-13,88,14,3,1,2,20,8,0,182,9.9,317,1373:16:00,16:45,492,399,55.2,60,143,37,47
2021_2022,151,Brock Boeser,24,VAN,RW,71,23,23,46,-5,20,12,11,0,6,16,6,1,195,11.8,391,1320:32:00,18:36,27,26,50.9,26,35,33,21
2021_2022,152,Anders Lee,31,NYI,LW,76,28,18,46,-11,34,19,9,0,3,14,4,0,159,17.6,266,1263:44:00,16:38,65,69,48.5,30,94,16,25
2021_2022,153,Damon Severson,27,NJD,D,80,11,35,46,-14,57,6,5,0,0,23,11,1,158,7,312,1888:23:00,23:36,0,0,,92,91,38,63
2021_2022,154,Yegor Sharangovich,23,NJD,C,76,24,22,46,-14,23,20,2,2,3,21,1,0,168,14.3,294,1254:35:00,16:30,89,131,40.5,26,30,48,44
