SEASON_ID,SNAPSHOT_DATE,TEAM_ID,TEAM_ABBR,PLAYER_ID,NAME,STATUS,AGE,HEIGHT,WEIGHT,BIRTH_COUNTRY,BIRTH_CITY,ROOKIE,POSITION,GAMES_PLAYED,GOALS,ASSISTS,POINTS,SOGPG,APG,GPG,PGP,DEF_WALL,PHYSICAL,HAT_TRICKS,PP_GOALS,PP_ASSISTS,PP_POINTS,SH_GOALS,SH_ASSISTS,SH_POINTS,GW_GOALS,GT_GOALS,OT_GOALS,SO_ATTEMPTS,SO_MISSES,SO_GOALS,SO_GOAL_PCT,PLUS_MINUS,SHOT_ATTEMPTS,SHOTS_ON_GOAL,SHOT_PCT,BLOCKED_SHOTS,BLOCKED_SHOTS_AGAINST,MISSED_SHOTS,HITS,HITS_RECEIVED,GIVEAWAYS,TAKEAWAYS,FACEOFFS,FACEOFF_WINS,FACEOFF_LOSSES,FACEOFF_PCT,PENALTIES,PIM,PENALTIES_DRAWN,PENALTY_MIN_DRAWN,FIGHTS,SHIFTS,EVEN_STR_SHIFTS,PP_SHIFTS,SH_SHIFTS,TIME_ON_ICE,EVENT_TOI,PP_TOI,SH_TOI,TEAM_ABBR_CANON,division,conference
2025-2026,20260228,19,CBJ,12287,Zach Aston-Reese,ASSIGNED_TO_MINORS,31.0,"6'0""",204.0,USA,"Staten Island, NY",False,LW,26,1,4,5,0.65,0.15,0.04,0.19,16.8,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1,31,17,5.9,17,3,11,71,18,10,2,25,7,18,28.0,6,12,6,12,0,354,203,73,76,14994,2275,1181,11403,CBJ,Metropolitan,Eastern
2025-2026,20260228,25,MIN,15186,Nicolas Aube-Kubel,ASSIGNED_TO_MINORS,29.0,"5'11""",187.0,Canada,"Slave Lake, AB",False,RW,4,0,1,1,1.0,0.25,0.0,0.25,2.2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,10,4,0.0,4,1,5,4,4,1,1,5,0,5,0.0,3,6,1,2,0,60,30,22,8,2912,802,440,1670,MIN,Central,Western
2025-2026,20260228,27,DAL,34436,Oskar Back,ROSTER,25.0,"6'3""",200.0,Sweden,Karlstad,True,C,48,4,4,8,0.54,0.08,0.08,0.17,13.5,4.1,1,0,0,0,1,0,1,1,0,0,0,0,0,0.0,3,51,26,15.4,26,12,13,18,61,30,8,32,15,17,46.9,3,6,7,16,0,819,434,176,211,35262,5763,2106,27294,DAL,Central,Western
2025-2026,20260228,23,CGY,4609,Mikael Backlund,ROSTER,36.0,"6'0""",200.0,Sweden,Vasteras,False,C,57,13,22,35,2.46,0.39,0.23,0.61,10.8,8.3,4,1,2,3,1,3,4,2,0,0,0,0,0,0.0,15,251,140,9.3,19,53,58,20,37,55,24,1029,515,514,50.0,6,12,7,14,0,1367,716,331,333,60621,17224,3276,40121,CGY,Pacific,Western
2025-2026,20260228,23,CGY,14578,Kevin Bahl,ROSTER,25.0,"6'6""",216.0,Canada,"New Westminster, BC",True,D,56,3,10,13,0.8,0.18,0.05,0.23,47.8,25.5,1,0,0,0,0,1,1,2,0,0,0,0,0,0.0,13,109,45,6.7,85,45,19,86,51,70,34,0,0,0,0.0,15,33,12,27,1,1730,1099,295,340,73734,7718,3096,62882,CGY,Pacific,Western
2025-2026,20260228,21,VAN,38470,Arshdeep Bains,ASSIGNED_TO_MINORS,25.0,"6'0""",185.0,Canada,"Surrey, BC",True,LW,28,1,4,5,0.64,0.14,0.04,0.18,5.4,8.3,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,-3,31,18,5.6,5,9,4,24,21,11,6,14,2,12,14.3,6,12,0,0,0,370,265,29,77,15466,1048,181,14238,VAN,Pacific,Western
2025-2026,20260228,4,FLO,120218,Uvis Balinskis,ROSTER,29.0,"6'0""",187.0,Latvia,Ventspils,True,D,50,5,9,14,1.22,0.18,0.1,0.28,24.2,19.3,1,3,3,6,0,0,0,1,0,0,0,0,0,0.0,-8,121,61,8.2,37,46,14,63,65,31,22,0,0,0,0.0,14,28,13,26,0,1049,881,99,74,49013,7984,1351,39629,FLA,,
2025-2026,20260228,142,VGK,11708,Ivan Barbashev,ROSTER,30.0,"6'0""",187.0,Russia,Moscow,False,LW,59,17,25,42,1.54,0.42,0.29,0.71,26.1,6.9,5,1,1,2,0,0,0,2,0,0,0,0,0,0.0,11,168,91,18.7,32,30,47,93,60,67,13,39,9,30,23.1,5,10,9,18,0,1146,560,358,245,57292,11681,4460,41170,VGK,Pacific,Western
2025-2026,20260228,22,COL,56519,Zakhar Bardakov,ROSTER,25.0,"6'2""",198.0,Russia,Seversk,False,C,43,1,8,9,0.53,0.19,0.02,0.21,13.0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7,56,23,4.3,18,12,21,40,32,20,5,150,65,85,43.3,6,12,7,14,0,445,311,46,89,18419,1928,502,15989,COL,Central,Western
2025-2026,20260228,6,PHI,120107,Denver Barkey,ROSTER,20.0,"5'9""",155.0,Canada,"Newmarket, ON",True,C,24,2,7,9,1.0,0.29,0.08,0.38,8.5,8.3,0,1,2,3,0,0,0,0,0,0,0,0,0,0.0,-7,44,24,8.3,13,9,11,22,13,16,3,9,3,6,33.3,6,12,6,12,0,429,354,53,24,19594,4209,448,14937,PHI,Metropolitan,Eastern
2025-2026,20260228,22,COL,18190,Alex Barre-Boulet,ASSIGNED_TO_MINORS,28.0,"5'9""",168.0,Canada,"Montmagny, QC",False,C,1,0,1,1,0.0,1.0,0.0,1.0,0.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,8,5,1,2,226,0,0,226,COL,Central,Western
2025-2026,20260228,18,NSH,30074,Justin Barron,ROSTER,24.0,"6'2""",195.0,Canada,"Halifax, NS",True,D,32,0,5,5,0.66,0.16,0.0,0.16,16.6,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4,60,21,0.0,32,26,13,22,47,38,1,0,0,0,0.0,4,8,1,2,0,596,422,83,91,26822,4051,911,21860,NSH,Central,Western
2025-2026,20260228,2,WPJ,28496,Morgan Barron,ROSTER,27.0,"6'4""",220.0,Canada,"Halifax, NS",True,C,49,7,10,17,1.53,0.2,0.14,0.35,24.9,16.6,2,0,0,0,2,0,2,2,0,0,0,0,0,0.0,5,132,75,9.3,25,21,36,106,50,25,15,422,200,222,47.4,12,24,12,24,0,885,472,292,129,36986,6421,4464,26092,WPG,,
2025-2026,20260228,8,NYI,5611,Mathew Barzal,ROSTER,28.0,"6'0""",187.0,Canada,"Coquitlam, BC",False,C,58,17,35,52,2.14,0.6,0.29,0.9,18.1,25.7,5,2,12,14,0,0,0,3,0,1,7,1,2,28.57,13,248,124,13.7,36,57,67,21,41,72,31,507,203,304,40.0,16,43,18,36,0,1253,654,473,147,72130,15329,12793,44134,NYI,Metropolitan,Eastern
2025-2026,20260228,27,DAL,15468,Nathan Bastian,ROSTER,28.0,"6'4""",205.0,Canada,"Kitchener, ON",False,RW,25,3,0,3,0.68,0.0,0.12,0.12,10.2,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,27,17,17.6,6,4,6,57,25,6,1,0,0,0,0.0,6,15,2,7,1,294,199,57,41,12608,2779,938,8891,DAL,Central,Western
2025-2026,20260228,13,OTT,15394,Drake Batherson,ROSTER,27.0,"6'3""",203.0,USA,"Fort Wayne, IN",False,RW,55,19,30,49,2.09,0.55,0.35,0.89,17.6,18.5,6,7,11,18,0,0,0,3,0,0,3,1,1,33.33,-4,232,115,16.5,16,39,78,80,46,41,19,19,9,10,47.4,10,23,14,31,1,1290,665,185,460,58623,9436,1875,47468,OTT,Atlantic,Eastern
2025-2026,20260228,23,CGY,9639,Jake Bean,ROSTER,27.0,"6'1""",186.0,Canada,"Calgary, AB",False,D,16,1,1,2,1.0,0.06,0.06,0.12,12.7,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7,44,16,6.2,29,22,6,3,23,15,5,0,0,0,0.0,4,16,0,0,0,375,246,37,93,15316,1268,665,13383,CGY,Pacific,Western
