PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
Liam McLinskey,Charlotte Checkers,18,2,3,5,0.167,0.111,0.28,0.444,2,https://www.eliteprospects.com/player/445714/liam-mclinskey,2025-2026,ahl
Jake Furlong,totals,21,2,3,5,0.143,0.095,0.24,0.952,-2,https://www.eliteprospects.com/player/563446/jake-furlong,2025-2026,ahl
Cooper Walker,Abbotsford Canucks,24,2,3,5,0.125,0.083,0.21,0.167,-1,https://www.eliteprospects.com/player/505198/cooper-walker,2025-2026,ahl
Lucas Johansen,Henderson Silver Knights,24,2,3,5,0.125,0.083,0.21,0.25,-4,https://www.eliteprospects.com/player/199937/lucas-johansen,2025-2026,ahl
Nikita Chibrikov,Manitoba Moose,32,2,3,5,0.094,0.062,0.16,0.312,-11,https://www.eliteprospects.com/player/527467/nikita-chibrikov,2025-2026,ahl
Justin Ertel,Texas Stars,33,2,3,5,0.091,0.061,0.15,0.727,-6,https://www.eliteprospects.com/player/529245/justin-ertel,2025-2026,ahl
Nolan Renwick,Wilkes-Barre/Scranton Penguins,34,2,3,5,0.088,0.059,0.15,0.853,2,https://www.eliteprospects.com/player/352027/nolan-renwick,2025-2026,ahl
Dillon Boucher,Rockford IceHogs,38,2,3,5,0.079,0.053,0.13,2.263,-6,https://www.eliteprospects.com/player/195762/dillon-boucher,2025-2026,ahl
Leo Loof,Springfield Thunderbirds,43,2,3,5,0.07,0.047,0.12,0.512,-3,https://www.eliteprospects.com/player/412461/leo-loof,2025-2026,ahl
Jack St. Ivany,Wilkes-Barre/Scranton Penguins,5,1,4,5,0.8,0.2,1,0.8,3,https://www.eliteprospects.com/player/300076/jack-st.-ivany,2025-2026,ahl
Melvin Fernstrom,Wilkes-Barre/Scranton Penguins,7,1,4,5,0.571,0.143,0.71,0,4,https://www.eliteprospects.com/player/619006/melvin-fernstrom,2025-2026,ahl
Scott Morrow,Hartford Wolf Pack,14,1,4,5,0.286,0.071,0.36,1.143,-8,https://www.eliteprospects.com/player/201892/scott-morrow,2025-2026,ahl
Dylan Anhorn,Manitoba Moose,21,1,4,5,0.19,0.048,0.24,0.476,4,https://www.eliteprospects.com/player/281318/dylan-anhorn,2025-2026,ahl
Mitchell Vande Sompel,Charlotte Checkers,23,1,4,5,0.174,0.043,0.22,0.478,4,https://www.eliteprospects.com/player/204918/mitchell-vande-sompel,2025-2026,ahl
Sam Lipkin,Tucson Roadrunners,27,1,4,5,0.148,0.037,0.19,0.593,10,https://www.eliteprospects.com/player/478367/sam-lipkin,2025-2026,ahl
Andrew Basha,Calgary Wranglers,27,1,4,5,0.148,0.037,0.19,1.222,-7,https://www.eliteprospects.com/player/677806/andrew-basha,2025-2026,ahl
Tyler Kopff,Rochester Americans,28,1,4,5,0.143,0.036,0.18,0.821,-1,https://www.eliteprospects.com/player/553220/tyler-kopff,2025-2026,ahl
Stanislav Svozil,Cleveland Monsters,33,1,4,5,0.121,0.03,0.15,0.485,1,https://www.eliteprospects.com/player/428002/stanislav-svozil,2025-2026,ahl
Cal Burke,San Diego Gulls,36,1,4,5,0.111,0.028,0.14,0.111,-5,https://www.eliteprospects.com/player/248438/cal-burke,2025-2026,ahl
Graham Slaggert,Rochester Americans,40,1,4,5,0.1,0.025,0.13,0.1,-5,https://www.eliteprospects.com/player/284012/graham-slaggert,2025-2026,ahl
Emil Andrae,Lehigh Valley Phantoms,7,0,5,5,0.714,0,0.71,0.857,3,https://www.eliteprospects.com/player/394716/emil-andrae,2025-2026,ahl
Marshall Rifai,Toronto Marlies,18,0,5,5,0.278,0,0.28,1.667,6,https://www.eliteprospects.com/player/254623/marshall-rifai,2025-2026,ahl
Vladislav Kolyachonok,Texas Stars,20,0,5,5,0.25,0,0.25,0.5,0,https://www.eliteprospects.com/player/490232/vladislav-kolyachonok,2025-2026,ahl
Mikael Diotte,Utica Comets,36,0,5,5,0.139,0,0.14,0.639,-14,https://www.eliteprospects.com/player/502341/mikael-diotte,2025-2026,ahl
Josiah Didier,Laval Rocket,37,0,5,5,0.135,0,0.14,0.838,0,https://www.eliteprospects.com/player/89813/josiah-didier,2025-2026,ahl
Vincent Arseneau,Laval Rocket,13,4,0,4,0,0.308,0.31,0.846,3,https://www.eliteprospects.com/player/37069/vincent-arseneau,2025-2026,ahl
Zack Ostapchuk,San Jose Barracuda,11,3,1,4,0.091,0.273,0.36,0.909,-4,https://www.eliteprospects.com/player/476029/zack-ostapchuk,2025-2026,ahl
Jack Ricketts,Tucson Roadrunners,12,3,1,4,0.083,0.25,0.33,0.333,3,https://www.eliteprospects.com/player/300356/jack-ricketts,2025-2026,ahl
Colton Huard,Charlotte Checkers,19,3,1,4,0.053,0.158,0.21,1.105,0,https://www.eliteprospects.com/player/439058/colton-huard,2025-2026,ahl
Josh Filmon,Utica Comets,23,3,1,4,0.043,0.13,0.17,0.435,-1,https://www.eliteprospects.com/player/572099/josh-filmon,2025-2026,ahl
Sam Stange,Springfield Thunderbirds,31,3,1,4,0.032,0.097,0.13,0,-7,https://www.eliteprospects.com/player/435761/sam-stange,2025-2026,ahl
Cooper Flinton,Syracuse Crunch,31,3,1,4,0.032,0.097,0.13,0.581,2,https://www.eliteprospects.com/player/648425/cooper-flinton,2025-2026,ahl
Otto Salin,Ontario Reign,34,3,1,4,0.029,0.088,0.12,0.588,-3,https://www.eliteprospects.com/player/638727/otto-salin,2025-2026,ahl
Kalle Vaisanen,Hartford Wolf Pack,41,3,1,4,0.024,0.073,0.1,0,-9,https://www.eliteprospects.com/player/559937/kalle-vaisanen,2025-2026,ahl
Fyodor Svechkov,Milwaukee Admirals,7,2,2,4,0.286,0.286,0.57,0.286,0,https://www.eliteprospects.com/player/693396/fyodor-svechkov,2025-2026,ahl
Landon Slaggert,Rockford IceHogs,8,2,2,4,0.25,0.25,0.5,1,-2,https://www.eliteprospects.com/player/418245/landon-slaggert,2025-2026,ahl
Chad Hillebrand,Grand Rapids Griffins,14,2,2,4,0.143,0.143,0.29,0.929,5,https://www.eliteprospects.com/player/284070/chad-hillebrand,2025-2026,ahl
Jaxon Nelson,Iowa Wild,15,2,2,4,0.133,0.133,0.27,0.133,-4,https://www.eliteprospects.com/player/284191/jaxon-nelson,2025-2026,ahl
Will Dineen,Laval Rocket,27,2,2,4,0.074,0.074,0.15,0.815,4,https://www.eliteprospects.com/player/393076/will-dineen,2025-2026,ahl
Anri Ravinskis,Abbotsford Canucks,29,2,2,4,0.069,0.069,0.14,0.276,-10,https://www.eliteprospects.com/player/550178/anri-ravinskis,2025-2026,ahl
Sean Chisholm,Texas Stars,31,2,2,4,0.065,0.065,0.13,1.065,-2,https://www.eliteprospects.com/player/502051/sean-chisholm,2025-2026,ahl
Ethan Keppen,Bakersfield Condors,31,2,2,4,0.065,0.065,0.13,1.161,-2,https://www.eliteprospects.com/player/418534/ethan-keppen,2025-2026,ahl
Parker Bell,Calgary Wranglers,41,2,2,4,0.049,0.049,0.1,0.732,-12,https://www.eliteprospects.com/player/539062/parker-bell,2025-2026,ahl
Brendan Hoffman,San Jose Barracuda,5,1,3,4,0.6,0.2,0.8,0,5,https://www.eliteprospects.com/player/530039/brendan-hoffman,2025-2026,ahl
Matthew Wood,Milwaukee Admirals,5,1,3,4,0.6,0.2,0.8,0,-1,https://www.eliteprospects.com/player/603587/matthew-wood,2025-2026,ahl
Kyle Capobianco,Texas Stars,5,1,3,4,0.6,0.2,0.8,0.8,1,https://www.eliteprospects.com/player/225186/kyle-capobianco,2025-2026,ahl
Zach Uens,Coachella Valley Firebirds,8,1,3,4,0.375,0.125,0.5,0.5,3,https://www.eliteprospects.com/player/424330/zach-uens,2025-2026,ahl
David Breazeale,Wilkes-Barre/Scranton Penguins,9,1,3,4,0.333,0.111,0.44,0,8,https://www.eliteprospects.com/player/454759/david-breazeale,2025-2026,ahl
Vitali Kravtsov,Abbotsford Canucks,10,1,3,4,0.3,0.1,0.4,0,-7,https://www.eliteprospects.com/player/379749/vitali-kravtsov,2025-2026,ahl
Josh Jacobs,Laval Rocket,11,1,3,4,0.273,0.091,0.36,0,5,https://www.eliteprospects.com/player/168704/josh-jacobs,2025-2026,ahl
Isaac Belliveau,Rochester Americans,22,1,3,4,0.136,0.045,0.18,1,-3,https://www.eliteprospects.com/player/340655/isaac-belliveau,2025-2026,ahl
Shane Bowers,San Jose Barracuda,23,1,3,4,0.13,0.043,0.17,0.87,-7,https://www.eliteprospects.com/player/216102/shane-bowers,2025-2026,ahl
Etienne Morin,Calgary Wranglers,24,1,3,4,0.125,0.042,0.17,0.333,-2,https://www.eliteprospects.com/player/599308/etienne-morin,2025-2026,ahl
Cavan Fitzgerald,Rockford IceHogs,27,1,3,4,0.111,0.037,0.15,1.741,-5,https://www.eliteprospects.com/player/193114/cavan-fitzgerald,2025-2026,ahl
Adam Ginning,Lehigh Valley Phantoms,30,1,3,4,0.1,0.033,0.13,0.6,-9,https://www.eliteprospects.com/player/281968/adam-ginning,2025-2026,ahl
Zach Gallant,Wilkes-Barre/Scranton Penguins,30,1,3,4,0.1,0.033,0.13,2.133,1,https://www.eliteprospects.com/player/273617/zach-gallant,2025-2026,ahl
Taige Harding,Rockford IceHogs,33,1,3,4,0.091,0.03,0.12,2.03,1,https://www.eliteprospects.com/player/201918/taige-harding,2025-2026,ahl
Andrew Perrott,Rockford IceHogs,33,1,3,4,0.091,0.03,0.12,2.606,-6,https://www.eliteprospects.com/player/369851/andrew-perrott,2025-2026,ahl
Joe Arntsen,Abbotsford Canucks,47,1,3,4,0.064,0.021,0.09,1.702,-18,https://www.eliteprospects.com/player/483623/joe-arntsen,2025-2026,ahl
Harrison Brunicke,Wilkes-Barre/Scranton Penguins,5,0,4,4,0.8,0,0.8,0,2,https://www.eliteprospects.com/player/727518/harrison-brunicke,2025-2026,ahl
Leon Muggli,Hershey Bears,17,0,4,4,0.235,0,0.24,0,-2,https://www.eliteprospects.com/player/795529/leon-muggli,2025-2026,ahl
Juuso Parssinen,Hartford Wolf Pack,9,3,0,3,0,0.333,0.33,0.444,-2,https://www.eliteprospects.com/player/396656/juuso-parssinen,2025-2026,ahl
Riley Bezeau,Cleveland Monsters,15,3,0,3,0,0.2,0.2,2.267,1,https://www.eliteprospects.com/player/478624/riley-bezeau,2025-2026,ahl
Ryan Gagnier,Rockford IceHogs,22,3,0,3,0,0.136,0.14,0.091,-5,https://www.eliteprospects.com/player/485876/ryan-gagnier,2025-2026,ahl
Mark Liwiski,Iowa Wild,38,3,0,3,0,0.079,0.08,4.658,-10,https://www.eliteprospects.com/player/351246/mark-liwiski,2025-2026,ahl
Nathan Bastian,Texas Stars,4,2,1,3,0.25,0.5,0.75,0.5,0,https://www.eliteprospects.com/player/245157/nathan-bastian,2025-2026,ahl
Matt Stienburg,Colorado Eagles,8,2,1,3,0.125,0.25,0.38,1.375,-2,https://www.eliteprospects.com/player/267112/matt-stienburg,2025-2026,ahl
Jalen Luypen,totals,9,2,1,3,0.111,0.222,0.33,0,1,https://www.eliteprospects.com/player/476673/jalen-luypen,2025-2026,ahl
Joseph Dunlap,Laval Rocket,10,2,1,3,0.1,0.2,0.3,0.6,3,https://www.eliteprospects.com/player/355835/joseph-dunlap,2025-2026,ahl
Matteo Costantini,Rochester Americans,11,2,1,3,0.091,0.182,0.27,0,-2,https://www.eliteprospects.com/player/504013/matteo-costantini,2025-2026,ahl
Gleb Veremyev,Bridgeport Islanders,18,2,1,3,0.056,0.111,0.17,0.722,-5,https://www.eliteprospects.com/player/478448/gleb-veremyev,2025-2026,ahl
Shawn Element,totals,20,2,1,3,0.05,0.1,0.15,0.55,1,https://www.eliteprospects.com/player/384443/shawn-element,2025-2026,ahl
Connor Clattenburg,Bakersfield Condors,20,2,1,3,0.05,0.1,0.15,4.4,-5,https://www.eliteprospects.com/player/645291/connor-clattenburg,2025-2026,ahl
Justin Nachbaur,Hershey Bears,26,2,1,3,0.038,0.077,0.12,2.846,-8,https://www.eliteprospects.com/player/293501/justin-nachbaur,2025-2026,ahl
Matt Copponi,Bakersfield Condors,29,2,1,3,0.034,0.069,0.1,0.517,-9,https://www.eliteprospects.com/player/665996/matt-copponi,2025-2026,ahl
Jacob Doty,Ontario Reign,30,2,1,3,0.033,0.067,0.1,1.8,-9,https://www.eliteprospects.com/player/45623/jacob-doty,2025-2026,ahl
Jack Finley,Syracuse Crunch,3,1,2,3,0.667,0.333,1,0,1,https://www.eliteprospects.com/player/477357/jack-finley,2025-2026,ahl
Calum Ritchie,Bridgeport Islanders,3,1,2,3,0.667,0.333,1,0.667,2,https://www.eliteprospects.com/player/603108/calum-ritchie,2025-2026,ahl
Charle-Edouard D'Astous,Syracuse Crunch,4,1,2,3,0.5,0.25,0.75,0,3,https://www.eliteprospects.com/player/255979/charle-edouard-d-astous,2025-2026,ahl
Jordan Harris,Providence Bruins,4,1,2,3,0.5,0.25,0.75,0,6,https://www.eliteprospects.com/player/321687/jordan-harris,2025-2026,ahl
Noah Philp,Chicago Wolves,5,1,2,3,0.4,0.2,0.6,0.4,0,https://www.eliteprospects.com/player/198306/noah-philp,2025-2026,ahl
Jonathan Aspirot,Providence Bruins,5,1,2,3,0.4,0.2,0.6,0.8,2,https://www.eliteprospects.com/player/354151/jonathan-aspirot,2025-2026,ahl
Emil Pieniniemi,Wilkes-Barre/Scranton Penguins,8,1,2,3,0.25,0.125,0.38,0.25,6,https://www.eliteprospects.com/player/709463/emil-pieniniemi,2025-2026,ahl
Harrison Israels,Rockford IceHogs,11,1,2,3,0.182,0.091,0.27,0.182,2,https://www.eliteprospects.com/player/418568/harrison-israels,2025-2026,ahl
Jackson van de Leest,Utica Comets,12,1,2,3,0.167,0.083,0.25,0.583,-2,https://www.eliteprospects.com/player/407592/jackson-van-de-leest,2025-2026,ahl
Cooper Moore,Hartford Wolf Pack,26,1,2,3,0.077,0.038,0.12,0.846,0,https://www.eliteprospects.com/player/424450/cooper-moore,2025-2026,ahl
Mason Geertsen,Rochester Americans,26,1,2,3,0.077,0.038,0.12,1.692,-5,https://www.eliteprospects.com/player/64567/mason-geertsen,2025-2026,ahl
Tomas Hamara,Belleville Senators,37,1,2,3,0.054,0.027,0.08,0.27,-2,https://www.eliteprospects.com/player/559537/tomas-hamara,2025-2026,ahl
Tyrel Bauer,Manitoba Moose,38,1,2,3,0.053,0.026,0.08,2.342,10,https://www.eliteprospects.com/player/391046/tyrel-bauer,2025-2026,ahl
Kyle Crnkovic,San Jose Barracuda,5,0,3,3,0.6,0,0.6,0.4,5,https://www.eliteprospects.com/player/201916/kyle-crnkovic,2025-2026,ahl
Niko Huuhtanen,Syracuse Crunch,5,0,3,3,0.6,0,0.6,2,1,https://www.eliteprospects.com/player/525628/niko-huuhtanen,2025-2026,ahl
Jacob Truscott,Grand Rapids Griffins,7,0,3,3,0.429,0,0.43,0.571,4,https://www.eliteprospects.com/player/201776/jacob-truscott,2025-2026,ahl
Brady Stonehouse,Bakersfield Condors,9,0,3,3,0.333,0,0.33,2.333,2,https://www.eliteprospects.com/player/652102/brady-stonehouse,2025-2026,ahl
Daniel Laatsch,Wilkes-Barre/Scranton Penguins,10,0,3,3,0.3,0,0.3,0.2,1,https://www.eliteprospects.com/player/201855/daniel-laatsch,2025-2026,ahl
Dennis Cholowski,Utica Comets,10,0,3,3,0.3,0,0.3,0.6,-5,https://www.eliteprospects.com/player/247137/dennis-cholowski,2025-2026,ahl
Carter Berger,Lehigh Valley Phantoms,12,0,3,3,0.25,0,0.25,0.333,5,https://www.eliteprospects.com/player/299029/carter-berger,2025-2026,ahl
Milo Roelens,Syracuse Crunch,12,0,3,3,0.25,0,0.25,0.75,2,https://www.eliteprospects.com/player/483281/milo-roelens,2025-2026,ahl
Dakota Mermis,Toronto Marlies,12,0,3,3,0.25,0,0.25,1.083,-1,https://www.eliteprospects.com/player/56311/dakota-mermis,2025-2026,ahl
Kaleb Lawrence,Ontario Reign,13,0,3,3,0.231,0,0.23,0.308,2,https://www.eliteprospects.com/player/417191/kaleb-lawrence,2025-2026,ahl
David Gagnon,Chicago Wolves,13,0,3,3,0.231,0,0.23,0.923,-3,https://www.eliteprospects.com/player/267110/david-gagnon,2025-2026,ahl
Joel Nystrom,Chicago Wolves,14,0,3,3,0.214,0,0.21,0.429,4,https://www.eliteprospects.com/player/394715/joel-nystrom,2025-2026,ahl
Arnaud Durandeau,Abbotsford Canucks,19,0,3,3,0.158,0,0.16,0.421,-7,https://www.eliteprospects.com/player/201536/arnaud-durandeau,2025-2026,ahl
Jackson Kunz,Abbotsford Canucks,22,0,3,3,0.136,0,0.14,0,-7,https://www.eliteprospects.com/player/550361/jackson-kunz,2025-2026,ahl
Bryce Montgomery,Chicago Wolves,22,0,3,3,0.136,0,0.14,1.955,-3,https://www.eliteprospects.com/player/478709/bryce-montgomery,2025-2026,ahl
Colin Felix,Providence Bruins,22,0,3,3,0.136,0,0.14,2.864,1,https://www.eliteprospects.com/player/312315/colin-felix,2025-2026,ahl
Austin Roest,Milwaukee Admirals,28,0,3,3,0.107,0,0.11,0.643,-6,https://www.eliteprospects.com/player/691875/austin-roest,2025-2026,ahl
Christoffer Sedoff,Henderson Silver Knights,35,0,3,3,0.086,0,0.09,0.429,3,https://www.eliteprospects.com/player/454747/christoffer-sedoff,2025-2026,ahl
Max Sasson,Abbotsford Canucks,2,2,0,2,0,1,1,0,2,https://www.eliteprospects.com/player/462545/max-sasson,2025-2026,ahl
Kaden Bohlsen,Hershey Bears,2,2,0,2,0,1,1,0,1,https://www.eliteprospects.com/player/385676/kaden-bohlsen,2025-2026,ahl
Ethen Frank,Hershey Bears,3,2,0,2,0,0.667,0.67,0,0,https://www.eliteprospects.com/player/247909/ethen-frank,2025-2026,ahl
Kevin Conley,Manitoba Moose,5,2,0,2,0,0.4,0.4,0.4,1,https://www.eliteprospects.com/player/248429/kevin-conley,2025-2026,ahl
Logan Mailloux,Springfield Thunderbirds,5,2,0,2,0,0.4,0.4,0.4,-2,https://www.eliteprospects.com/player/582695/logan-mailloux,2025-2026,ahl
Reilly Connors,Colorado Eagles,8,2,0,2,0,0.25,0.25,1.375,0,https://www.eliteprospects.com/player/386404/reilly-connors,2025-2026,ahl
Yan Kuznetsov,Calgary Wranglers,10,2,0,2,0,0.2,0.2,0.2,5,https://www.eliteprospects.com/player/440410/yan-kuznetsov,2025-2026,ahl
Mathieu De St. Phalle,Wilkes-Barre/Scranton Penguins,11,2,0,2,0,0.182,0.18,0.545,-4,https://www.eliteprospects.com/player/283937/mathieu-de-st.-phalle,2025-2026,ahl
Blake Biondi,Chicago Wolves,23,2,0,2,0,0.087,0.09,0.304,-5,https://www.eliteprospects.com/player/495919/blake-biondi,2025-2026,ahl
Max Dorrington,Bridgeport Islanders,2,1,1,2,0.5,0.5,1,0,1,https://www.eliteprospects.com/player/505134/max-dorrington,2025-2026,ahl
Alec Regula,Bakersfield Condors,2,1,1,2,0.5,0.5,1,2,2,https://www.eliteprospects.com/player/283940/alec-regula,2025-2026,ahl
Robby Fabbri,Charlotte Checkers,3,1,1,2,0.333,0.333,0.67,0,-4,https://www.eliteprospects.com/player/156923/robby-fabbri,2025-2026,ahl
Paul Ludwinski,Rockford IceHogs,3,1,1,2,0.333,0.333,0.67,0.667,-2,https://www.eliteprospects.com/player/603788/paul-ludwinski,2025-2026,ahl
Sheldon Rempal,Hershey Bears,4,1,1,2,0.25,0.25,0.5,0.5,-2,https://www.eliteprospects.com/player/142304/sheldon-rempal,2025-2026,ahl
Tom Willander,Abbotsford Canucks,5,1,1,2,0.2,0.2,0.4,0,-5,https://www.eliteprospects.com/player/599426/tom-willander,2025-2026,ahl
Givani Smith,Chicago Wolves,8,1,1,2,0.125,0.125,0.25,1.375,-1,https://www.eliteprospects.com/player/252472/givani-smith,2025-2026,ahl
Kalan Lind,Milwaukee Admirals,9,1,1,2,0.111,0.111,0.22,1.222,-5,https://www.eliteprospects.com/player/569175/kalan-lind,2025-2026,ahl
Jack Matier,Milwaukee Admirals,9,1,1,2,0.111,0.111,0.22,1.889,2,https://www.eliteprospects.com/player/476043/jack-matier,2025-2026,ahl
Coulson Pitre,San Diego Gulls,11,1,1,2,0.091,0.091,0.18,0,-3,https://www.eliteprospects.com/player/672925/coulson-pitre,2025-2026,ahl
Chase Stillman,Abbotsford Canucks,11,1,1,2,0.091,0.091,0.18,2,-4,https://www.eliteprospects.com/player/503174/chase-stillman,2025-2026,ahl
Kenta Isogai,Ontario Reign,15,1,1,2,0.067,0.067,0.13,0.133,-3,https://www.eliteprospects.com/player/582267/kenta-isogai,2025-2026,ahl
Nolan Moyle,Grand Rapids Griffins,16,1,1,2,0.062,0.062,0.13,0.938,5,https://www.eliteprospects.com/player/273657/nolan-moyle,2025-2026,ahl
Riley McKay,Henderson Silver Knights,24,1,1,2,0.042,0.042,0.08,2.625,-9,https://www.eliteprospects.com/player/283832/riley-mckay,2025-2026,ahl
Dalton Bancroft,Providence Bruins,31,1,1,2,0.032,0.032,0.06,0.806,-3,https://www.eliteprospects.com/player/424327/dalton-bancroft,2025-2026,ahl
Yegor Zamula,Lehigh Valley Phantoms,3,0,2,2,0.667,0,0.67,0,-3,https://www.eliteprospects.com/player/398138/yegor-zamula,2025-2026,ahl
Nick Leivermann,Hershey Bears,3,0,2,2,0.667,0,0.67,0,1,https://www.eliteprospects.com/player/344081/nick-leivermann,2025-2026,ahl
Reilly Webb,Hershey Bears,7,0,2,2,0.286,0,0.29,0.286,3,https://www.eliteprospects.com/player/273694/reilly-webb,2025-2026,ahl
Ryan O'Rourke,Laval Rocket,8,0,2,2,0.25,0,0.25,0.5,-1,https://www.eliteprospects.com/player/201939/ryan-o-rourke,2025-2026,ahl
Zac Funk,Hershey Bears,8,0,2,2,0.25,0,0.25,1,0,https://www.eliteprospects.com/player/556514/zac-funk,2025-2026,ahl
Jacob Julien,Manitoba Moose,9,0,2,2,0.222,0,0.22,0,1,https://www.eliteprospects.com/player/702143/jacob-julien,2025-2026,ahl
Elliot Desnoyers,Iowa Wild,9,0,2,2,0.222,0,0.22,0.444,-2,https://www.eliteprospects.com/player/290157/elliot-desnoyers,2025-2026,ahl
Tyler Inamoto,Bakersfield Condors,9,0,2,2,0.222,0,0.22,0.667,1,https://www.eliteprospects.com/player/201486/tyler-inamoto,2025-2026,ahl
Ethan Frisch,Manitoba Moose,10,0,2,2,0.2,0,0.2,0,2,https://www.eliteprospects.com/player/365031/ethan-frisch,2025-2026,ahl
Aidan Fulp,Rochester Americans,10,0,2,2,0.2,0,0.2,0.4,4,https://www.eliteprospects.com/player/315954/aidan-fulp,2025-2026,ahl
Logan Brown,Ontario Reign,11,0,2,2,0.182,0,0.18,0.182,-4,https://www.eliteprospects.com/player/248391/logan-brown,2025-2026,ahl
Dylan Wendt,Utica Comets,12,0,2,2,0.167,0,0.17,0.167,-2,https://www.eliteprospects.com/player/369968/dylan-wendt,2025-2026,ahl
Mike Koster,Iowa Wild,13,0,2,2,0.154,0,0.15,0,1,https://www.eliteprospects.com/player/427432/mike-koster,2025-2026,ahl
Lucas Vanroboys,San Jose Barracuda,13,0,2,2,0.154,0,0.15,3,-4,https://www.eliteprospects.com/player/349153/lucas-vanroboys,2025-2026,ahl
Phip Waugh,totals,14,0,2,2,0.143,0,0.14,0.143,3,https://www.eliteprospects.com/player/496127/phip-waugh,2025-2026,ahl
Scooter Brickey,Wilkes-Barre/Scranton Penguins,14,0,2,2,0.143,0,0.14,0.714,3,https://www.eliteprospects.com/player/284078/scooter-brickey,2025-2026,ahl
Quinton Burns,Springfield Thunderbirds,14,0,2,2,0.143,0,0.14,2.214,-3,https://www.eliteprospects.com/player/590256/quinton-burns,2025-2026,ahl
Brandon Hickey,Henderson Silver Knights,16,0,2,2,0.125,0,0.13,0.75,-2,https://www.eliteprospects.com/player/64587/brandon-hickey,2025-2026,ahl
Calle Odelius,Bridgeport Islanders,17,0,2,2,0.118,0,0.12,0.118,-9,https://www.eliteprospects.com/player/607525/calle-odelius,2025-2026,ahl
Jesse Pulkkinen,Bridgeport Islanders,17,0,2,2,0.118,0,0.12,0.235,-9,https://www.eliteprospects.com/player/709399/jesse-pulkkinen,2025-2026,ahl
Chris Harpur,Syracuse Crunch,17,0,2,2,0.118,0,0.12,0.353,2,https://www.eliteprospects.com/player/221153/chris-harpur,2025-2026,ahl
Connor Punnett,Texas Stars,18,0,2,2,0.111,0,0.11,0.722,-1,https://www.eliteprospects.com/player/582502/connor-punnett,2025-2026,ahl
Simon Mack,Calgary Wranglers,19,0,2,2,0.105,0,0.11,0.105,-3,https://www.eliteprospects.com/player/317518/simon-mack,2025-2026,ahl
John Prokop,Toronto Marlies,21,0,2,2,0.095,0,0.1,0.286,-6,https://www.eliteprospects.com/player/437599/john-prokop,2025-2026,ahl
Djibril Toure,Belleville Senators,22,0,2,2,0.091,0,0.09,2.364,6,https://www.eliteprospects.com/player/507219/djibril-toure,2025-2026,ahl
Kevin Connauton,Tucson Roadrunners,23,0,2,2,0.087,0,0.09,0.87,-11,https://www.eliteprospects.com/player/38032/kevin-connauton,2025-2026,ahl
Ole Julian Bjorgvik-Holm,Cleveland Monsters,24,0,2,2,0.083,0,0.08,0.25,-1,https://www.eliteprospects.com/player/477881/ole-julian-bjorgvik-holm,2025-2026,ahl
Rasmus Kumpulainen,Iowa Wild,27,0,2,2,0.074,0,0.07,0.667,-8,https://www.eliteprospects.com/player/689399/rasmus-kumpulainen,2025-2026,ahl
Will Zmolek,Iowa Wild,29,0,2,2,0.069,0,0.07,0.276,-7,https://www.eliteprospects.com/player/379104/will-zmolek,2025-2026,ahl
Jacob MacDonald,Colorado Eagles,1,1,0,1,0,1,1,0,-2,https://www.eliteprospects.com/player/60064/jacob-macdonald,2025-2026,ahl
Zakhar Bardakov,Colorado Eagles,1,1,0,1,0,1,1,0,1,https://www.eliteprospects.com/player/292101/zakhar-bardakov,2025-2026,ahl
Connor Mayer,Hershey Bears,1,1,0,1,0,1,1,0,1,https://www.eliteprospects.com/player/313508/connor-mayer,2025-2026,ahl
Josh Dunne,Rochester Americans,2,1,0,1,0,0.5,0.5,2,1,https://www.eliteprospects.com/player/272225/josh-dunne,2025-2026,ahl
Ryan Kirwan,Toronto Marlies,3,1,0,1,0,0.333,0.33,0,0,https://www.eliteprospects.com/player/508271/ryan-kirwan,2025-2026,ahl
Saige Weinstein,Colorado Eagles,3,1,0,1,0,0.333,0.33,0.667,0,https://www.eliteprospects.com/player/612889/saige-weinstein,2025-2026,ahl
Filip Hallander,Wilkes-Barre/Scranton Penguins,3,1,0,1,0,0.333,0.33,0.667,1,https://www.eliteprospects.com/player/293387/filip-hallander,2025-2026,ahl
Tyler Motte,Charlotte Checkers,4,1,0,1,0,0.25,0.25,0.5,-2,https://www.eliteprospects.com/player/151824/tyler-motte,2025-2026,ahl
Cooper Gay,Colorado Eagles,5,1,0,1,0,0.2,0.2,0,1,https://www.eliteprospects.com/player/658212/cooper-gay,2025-2026,ahl
Josh Davies,Milwaukee Admirals,5,1,0,1,0,0.2,0.2,1.8,-1,https://www.eliteprospects.com/player/532703/josh-davies,2025-2026,ahl
William Dufour,Wilkes-Barre/Scranton Penguins,6,1,0,1,0,0.167,0.17,0,0,https://www.eliteprospects.com/player/294583/william-dufour,2025-2026,ahl
Patrick Thomas,Hershey Bears,6,1,0,1,0,0.167,0.17,0.333,-2,https://www.eliteprospects.com/player/603791/patrick-thomas,2025-2026,ahl
Zakary Karpa,Hartford Wolf Pack,6,1,0,1,0,0.167,0.17,1.167,-2,https://www.eliteprospects.com/player/470026/zakary-karpa,2025-2026,ahl
Ryland Mosley,Cleveland Monsters,8,1,0,1,0,0.125,0.13,0.25,-2,https://www.eliteprospects.com/player/300794/ryland-mosley,2025-2026,ahl
