PLAYER,TEAM,GP,G,A,PTS,APG,GPG,PPG,PIMPG,PLUS_MIN,LINK,SEASON,LEAGUE
Reese Johnson,Toronto Marlies,38,5,8,13,0.211,0.132,0.34,0.711,1,https://www.eliteprospects.com/player/279121/reese-johnson,2025-2026,ahl
Jake Schmaltz,Providence Bruins,42,5,8,13,0.19,0.119,0.31,0.19,3,https://www.eliteprospects.com/player/316160/jake-schmaltz,2025-2026,ahl
Jamieson Rees,Belleville Senators,43,5,8,13,0.186,0.116,0.3,0.791,-7,https://www.eliteprospects.com/player/418060/jamieson-rees,2025-2026,ahl
Hudson Fasching,Cleveland Monsters,49,5,8,13,0.163,0.102,0.27,0.163,-6,https://www.eliteprospects.com/player/114801/hudson-fasching,2025-2026,ahl
Owen Allard,Tucson Roadrunners,49,5,8,13,0.163,0.102,0.27,0.245,-10,https://www.eliteprospects.com/player/562236/owen-allard,2025-2026,ahl
Nico Myatovic,San Diego Gulls,49,5,8,13,0.163,0.102,0.27,0.449,5,https://www.eliteprospects.com/player/650108/nico-myatovic,2025-2026,ahl
Akil Thomas,totals,23,4,9,13,0.391,0.174,0.57,0.261,-6,https://www.eliteprospects.com/player/364033/akil-thomas,2025-2026,ahl
Hunter Brzustewicz,Calgary Wranglers,30,4,9,13,0.3,0.133,0.43,0.267,-3,https://www.eliteprospects.com/player/526088/hunter-brzustewicz,2025-2026,ahl
Andrei Loshko,Coachella Valley Firebirds,41,4,9,13,0.22,0.098,0.32,0.195,6,https://www.eliteprospects.com/player/707666/andrei-loshko,2025-2026,ahl
Jack Peart,Iowa Wild,43,4,9,13,0.209,0.093,0.3,0.372,-16,https://www.eliteprospects.com/player/616254/jack-peart,2025-2026,ahl
Nolan Allan,totals,44,4,9,13,0.205,0.091,0.3,1.091,-6,https://www.eliteprospects.com/player/482413/nolan-allan,2025-2026,ahl
Jack Hughes,Ontario Reign,42,3,10,13,0.238,0.071,0.31,0.619,3,https://www.eliteprospects.com/player/617526/jack-hughes,2025-2026,ahl
Sean Day,Bridgeport Islanders,48,3,10,13,0.208,0.062,0.27,0.083,-5,https://www.eliteprospects.com/player/228106/sean-day,2025-2026,ahl
Ethan Bear,Bridgeport Islanders,20,2,11,13,0.55,0.1,0.65,0.4,5,https://www.eliteprospects.com/player/197561/ethan-bear,2025-2026,ahl
Maxence Guenette,Lehigh Valley Phantoms,26,2,11,13,0.423,0.077,0.5,0.385,-3,https://www.eliteprospects.com/player/410616/maxence-guenette,2025-2026,ahl
Artyom Duda,Tucson Roadrunners,27,2,11,13,0.407,0.074,0.48,0.815,7,https://www.eliteprospects.com/player/620321/artyom-duda,2025-2026,ahl
Justin Holl,Grand Rapids Griffins,39,2,11,13,0.282,0.051,0.33,0.256,18,https://www.eliteprospects.com/player/46905/justin-holl,2025-2026,ahl
Ville Ottavainen,Coachella Valley Firebirds,39,2,11,13,0.282,0.051,0.33,1.308,8,https://www.eliteprospects.com/player/530727/ville-ottavainen,2025-2026,ahl
Ryan Schmelzer,Utica Comets,50,2,11,13,0.22,0.04,0.26,0.68,-15,https://www.eliteprospects.com/player/103818/ryan-schmelzer,2025-2026,ahl
Kirill Kudryavtsev,Abbotsford Canucks,28,1,12,13,0.429,0.036,0.46,0.071,-11,https://www.eliteprospects.com/player/699365/kirill-kudryavtsev,2025-2026,ahl
Alex Gagne,Colorado Eagles,49,1,12,13,0.245,0.02,0.27,0.796,13,https://www.eliteprospects.com/player/510343/alex-gagne,2025-2026,ahl
Chase Pietila,Wilkes-Barre/Scranton Penguins,49,1,12,13,0.245,0.02,0.27,1.082,18,https://www.eliteprospects.com/player/655358/chase-pietila,2025-2026,ahl
Grant Cruikshank,Hershey Bears,46,8,4,12,0.087,0.174,0.26,0.935,-12,https://www.eliteprospects.com/player/272303/grant-cruikshank,2025-2026,ahl
Braeden Bowman,Henderson Silver Knights,12,7,5,12,0.417,0.583,1,0.5,1,https://www.eliteprospects.com/player/582646/braeden-bowman,2025-2026,ahl
Mike Hardman,Utica Comets,36,6,6,12,0.167,0.167,0.33,0.278,-16,https://www.eliteprospects.com/player/353521/mike-hardman,2025-2026,ahl
Cam Thiesing,Bridgeport Islanders,44,6,6,12,0.136,0.136,0.27,0.364,5,https://www.eliteprospects.com/player/335885/cam-thiesing,2025-2026,ahl
Lukas Reichel,Abbotsford Canucks,21,5,7,12,0.333,0.238,0.57,0,-6,https://www.eliteprospects.com/player/381687/lukas-reichel,2025-2026,ahl
Boris Katchouk,totals,27,5,7,12,0.259,0.185,0.44,0.222,-6,https://www.eliteprospects.com/player/269859/boris-katchouk,2025-2026,ahl
