SEASON,SNAPSHOT_DATE,TEAM_ID,TEAM,TEAM_ABBR,GAMES_PLAYED,WINS,LOSSES,WL_RATIO,GF,GA,GF_PG,GA_PG,GPG_DIFF,SF_PG,SHOT_PCT,PTS,FO_PCT,PP,PPG,PP_PCT,PK,PKGA,PK_PCT,ST_PCT,P,PIM,UNF_ERRORS,OFF,DEF,GOAL,GRIT,BALANCE,PYTH_WIN_PCT,PYTH_WINS,WINS_ABOVE_EXPECTED,TEAM_ABBR_CANON,DIVISION,CONFERENCE
2024-2025,20260228,7,New Jersey Devils,NJD,59,28,29,0.97,148,181,2.51,3.07,-0.56,29.29,8.56,58,50.5,150,30,20,148,31,79.1,99.1,180,422,2.613,29.18,56.07,53.92,38.88,44.51,0.4,23.64,4.36,NJD,Metropolitan,Eastern
2024-2025,20260228,8,New York Islanders,NYI,59,33,21,1.57,173,160,2.93,2.71,0.22,27.42,10.69,71,51.8,171,28,16.4,161,30,81.4,97.8,200,477,2.675,38.01,68.37,69.92,46.52,55.7,0.54,31.8,1.2,NYI,Metropolitan,Eastern
2024-2025,20260228,9,New York Rangers,NYR,58,22,29,0.76,153,183,2.64,3.16,-0.52,25.47,10.36,51,54.6,143,32,22.4,165,35,78.8,101.2,203,447,2.787,33.46,44.57,46.83,72.38,49.31,0.41,23.84,-1.84,NYR,Metropolitan,Eastern
2024-2025,20260228,13,Ottawa Senators,OTT,58,28,22,1.27,192,186,3.31,3.21,0.1,28.48,11.62,64,54.9,188,44,23.4,167,46,72.5,95.9,234,576,3.231,59.59,30.63,36.77,67.77,48.69,0.52,29.89,-1.89,OTT,Atlantic,Eastern
2024-2025,20260228,6,Philadelphia Flyers,PHI,58,26,21,1.24,171,182,2.95,3.14,-0.19,25.59,11.52,63,49,167,27,16.2,175,36,79.4,95.6,231,582,3.24,37.63,45.93,46.96,65.62,49.04,0.47,27.19,-1.19,PHI,Metropolitan,Eastern
2024-2025,20260228,10,Pittsburgh Penguins,PIT,57,30,15,2,196,163,3.44,2.86,0.58,29.16,11.79,72,49.9,149,39,26.2,165,26,84.2,110.4,196,450,2.699,66.12,69.21,65.73,29.77,57.71,0.59,33.7,-3.7,PIT,Metropolitan,Eastern
2024-2025,20260228,26,San Jose Sharks,SJS,56,27,25,1.08,172,196,3.07,3.5,-0.43,25.66,11.97,58,47.5,189,38,20.1,173,37,78.6,98.7,208,466,3.049,47,32.03,29.99,46.89,38.98,0.43,24.35,2.65,SJS,Pacific,Western
2024-2025,20260228,143,Seattle Kraken,SEA,58,27,22,1.23,164,170,2.83,2.93,-0.1,25.22,11.21,63,47.6,166,37,22.3,159,46,71.1,93.4,193,458,2.74,40.38,35.6,48.67,29.5,38.54,0.48,27.99,-0.99,SEA,Pacific,Western
2024-2025,20260228,17,St. Louis Blues,STL,58,21,28,0.75,152,201,2.62,3.47,-0.85,25.19,10.4,51,50,153,28,18.3,160,42,73.8,92.1,192,452,2.907,28.35,28.03,28.61,61.72,36.68,0.36,21.06,-0.06,STL,Central,Western
2024-2025,20260228,1,Tampa Bay Lightning,TBL,57,38,15,2.53,207,145,3.63,2.54,1.09,28.28,12.84,80,47.1,178,40,22.5,176,30,83,105.5,282,810,3.827,68.69,72.33,76.39,57.79,68.8,0.67,38.26,-0.26,TBL,Atlantic,Eastern
2024-2025,20260228,12,Toronto Maple Leafs,TOR,59,27,23,1.17,191,202,3.24,3.42,-0.18,27.46,11.79,63,56,138,27,19.6,147,24,83.7,103.3,187,418,2.754,51.04,49.22,44.01,53.04,49.33,0.47,27.91,-0.91,TOR,Atlantic,Eastern
2024-2025,20260228,30,Utah Mammoth,UTA,59,31,24,1.29,190,163,3.22,2.76,0.46,27.97,11.52,66,49.4,164,27,16.5,180,39,78.3,94.8,227,538,2.878,47.78,64.06,61.41,44.88,54.53,0.58,34.01,-3.01,UTA,Central,Western
2024-2025,20260228,21,Vancouver Canucks,VAN,58,18,33,0.55,151,211,2.6,3.64,-1.04,26.81,9.71,43,48.6,172,32,18.6,171,50,70.8,89.4,211,475,3.066,29.38,12.51,15.62,54.52,28.01,0.34,19.59,-1.59,VAN,Pacific,Western
2024-2025,20260228,142,Vegas Golden Knights,VGK,59,28,17,1.65,199,180,3.37,3.05,0.32,28.73,11.74,70,50.7,169,44,26,137,26,81,107,172,404,2.559,64,57.99,58.31,41.74,55.51,0.55,32.43,-4.43,VGK,Pacific,Western
2024-2025,20260228,5,Washington Capitals,WSH,61,31,23,1.35,195,175,3.2,2.87,0.33,29.16,10.96,69,49.8,181,29,16,195,41,79,95,238,568,2.99,47.32,54.86,56.28,43.85,50.58,0.55,33.81,-2.81,WSH,Metropolitan,Eastern
2024-2025,20260228,2,Winnipeg Jets,WPJ,58,23,26,0.88,167,180,2.88,3.1,-0.22,26.41,10.9,55,50.5,162,31,19.1,169,36,78.7,97.8,205,496,2.91,38.79,51.16,48.66,58.17,49.19,0.46,26.87,-3.87,WPG,Central,Western
