,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
47,Ali Alipour,FW,ir IR Iran,30-231,1.ir Persepolis,1995,1,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Alisson,GK,br Brazil,33-271,1.eng Liverpool,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Thiago Almada,MF,ar Argentina,25-065,1.es Atlético Madrid,2001,3,2,148,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Miguel Almirón,"MF,FW",py Paraguay,32-140,1.us Atlanta Utd,1994,3,3,212,2.4,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Júnior Alonso,DF,py Paraguay,33-141,1.br Atlético Mineiro,1993,4,3,300,3.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
52,Bar?? Alper Y?lmaz,"MF,FW",tr Türkiye,26-038,1.tr Galatasaray,2000,3,2,179,2,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01,Matches
53,Roberto Alvarado,"FW,MF",mx Mexico,27-296,1.mx Guadalajara,1998,3,3,259,2.9,0,2,2,0,0,0,0,0,0,0.69,0.69,0,0.69,Matches
54,Edson Álvarez,"MF,DF",mx Mexico,28-249,1.eng West Ham,1997,3,2,195,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
55,Julián Álvarez,FW,ar Argentina,26-150,1.es Atlético Madrid,2000,3,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Ayoube Amaimouni,MF,ma Morocco,21-212,1.de Frankfurt,2004,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Zeki Amdouni,"FW,MF",ch Switzerland,25-208,1.eng Burnley,2000,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Michael Amir Murillo,"DF,MF",pa Panama,30-139,1.tr Be?ikta?,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Nadiem Amiri,MF,de Germany,29-246,1.de Mainz 05,1996,2,0,42,0.5,0,1,1,0,0,0,0,0,0,2.14,2.14,0,2.14,Matches
60,Amir Al Ammari,MF,iq Iraq,28-338,1.pl Cracovia,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0,0.36,0.36,0,0.36,Matches
61,Azizbek Amonov,FW,uz Uzbekistan,28-243,1.uz FK Bukhara Nurafshon,1997,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,Mohamed Amoura,"FW,MF",dz Algeria,26-052,1.de Wolfsburg,2000,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Sofyan Amrabat,MF,ma Morocco,29-313,1.es Real Betis,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
