,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
315,Matt Freese,GK,us United States,27-301,1.us NYCFC,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316,Remo Freuler,MF,ch Switzerland,34-076,1.it Bologna,1992,3,3,268,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
317,Marco Friedl,DF,at Austria,28-106,1.de Werder Bremen,1998,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Juriën Gaari,DF,cw Curaçao,32-189,2.sa Abha,1993,2,2,166,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
319,Jassem Gaber,MF,qa Qatar,24-130,1.qa Al Rayyan SC,2002,3,3,149,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
320,Cody Gakpo,FW,nl Netherlands,27-054,1.eng Liverpool,1999,4,4,368,4.1,3,1,4,3,0,0,0,0,0.73,0.24,0.98,0.73,0.98,Matches
321,Matías Galarza,MF,py Paraguay,24-139,1.us Atlanta Utd,2002,3,3,298,3.3,1,1,2,1,0,0,2,0,0.3,0.3,0.6,0.3,0.6,Matches
322,Hernán Galíndez,GK,ec Ecuador,39-092,1.ar Huracán,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
323,Jesús Gallardo,DF,mx Mexico,31-319,1.mx Toluca,1994,3,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
324,Ahmed Al-Ganehi,FW,qa Qatar,25-281,1.qa Al-Gharafa Sports Club,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Ben Gannon-Doak,MF,sct Scotland,20-231,1.eng Bournemouth,2005,3,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Gavi,FW,es Spain,21-329,1.es Barcelona,2004,1,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
327,Jason Geria,DF,au Australia,33-051,2.jp Albirex Niigata,1993,2,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Khalid Al Ghannam,MF,sa Saudi Arabia,25-234,1.sa Al-Ettifaq,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Ismaël Gharbi,MF,tn Tunisia,22-081,1.de Augsburg,2004,3,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
330,Mehdi Ghayedi,FW,ir IR Iran,27-207,1.ae Al-Nasr Dubai,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
331,Farés Ghedjemis,"FW,MF",dz Algeria,23-297,2.it Frosinone,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
332,Saman Ghoddos,MF,ir IR Iran,32-297,1.ae Al-Ittihad Kalba,1993,3,3,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
333,Mohammad Ghorbani,MF,ir IR Iran,25-040,1.ae Al-Wahda FC,2001,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
334,Lee Gi-hyuk,DF,kr Korea Republic,25-358,1.kr Gangwon FC,2000,3,3,270,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
335,Armin Gigovic,MF,ba Bosnia–Herz,24-085,1.ch Young Boys,2002,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
336,Orlando Gill,GK,py Paraguay,26-019,1.py San Lorenzo,2000,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
337,Santiago Giménez,FW,mx Mexico,25-073,1.it Milan,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
338,Aníbal Godoy,MF,pa Panama,36-140,1.us San Diego FC,1990,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
339,Andrés Gómez,MF,co Colombia,23-291,1.br Vasco da Gama,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
340,Diego Gómez,MF,py Paraguay,23-095,1.eng Brighton,2003,3,3,234,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
341,Gustavo Gómez,DF,py Paraguay,33-055,1.br Palmeiras,1993,4,4,390,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
342,Armando González,FW,mx Mexico,23-071,1.mx Guadalajara,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Nicolás González,"FW,MF",ar Argentina,28-085,1.es Atlético Madrid,1998,2,0,62,0.7,0,1,1,0,0,0,0,0,0,1.45,1.45,0,1.45,Matches
344,Anthony Gordon,MF,eng England,25-126,1.es Barcelona,2001,2,2,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
345,Leon Goretzka,MF,de Germany,31-144,1.de Bayern Munich,1995,3,0,99,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
346,Kenji Gorré,"FW,MF",cw Curaçao,31-274,1.il Maccabi Haifa,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
347,Keisuke Got?,FW,jp Japan,21-027,1.be Sint-Truiden,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
348,Amine Gouiri,FW,dz Algeria,26-134,1.fr Marseille,2000,3,3,218,2.4,1,0,1,1,0,0,0,0,0.41,0,0.41,0.41,0.41,Matches
349,Ryan Gravenberch,MF,nl Netherlands,24-045,1.eng Liverpool,2002,4,4,345,3.8,0,2,2,0,0,0,0,0,0,0.52,0.52,0,0.52,Matches
350,Michael Gregoritsch,FW,at Austria,32-073,1.de Augsburg,1994,2,1,129,1.4,0,1,1,0,0,0,0,0,0,0.7,0.7,0,0.7,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Florian Grillitsch,"DF,MF",at Austria,30-327,1.pt Braga,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
352,Pascal Groß,"DF,MF",de Germany,35-015,1.eng Brighton,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
353,Gabriel Gudmundsson,"MF,DF",se Sweden,27-062,1.eng Leeds United,1999,3,3,240,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
354,Cho Gue-sung,FW,kr Korea Republic,28-156,1.dk Midtjylland,1998,2,0,31,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
355,Marc Guéhi,DF,eng England,25-352,1.eng Manchester City,2000,3,2,184,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
356,Evann Guessand,"FW,MF",ci Côte d'Ivoire,24-364,1.eng Crystal Palace,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
357,Idrissa Gueye,MF,sn Senegal,36-277,1.eng Everton,1989,3,3,267,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
358,Pape Gueye,MF,sn Senegal,27-157,1.es Villarreal,1999,3,2,169,1.9,2,1,3,2,0,0,1,0,1.07,0.53,1.6,1.07,1.6,Matches
359,Bruno Guimarães,MF,br Brazil,28-226,1.eng Newcastle,1997,4,4,338,3.8,0,4,4,0,0,0,0,0,0,1.07,1.07,0,1.07,Matches
360,Deniz Gül,FW,tr Türkiye,21-363,1.pt Porto,2004,2,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Arda Güler,MF,tr Türkiye,21-125,1.es Real Madrid,2005,3,3,270,3,1,0,1,1,0,0,0,0,0.33,0,0.33,0.33,0.33,Matches
362,Angus Gunn,GK,sct Scotland,30-159,1.eng Nottingham,1996,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
363,Malo Gusto,"DF,MF",fr France,23-042,1.eng Chelsea,2003,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
364,Brian Gutiérrez,MF,mx Mexico,23-013,1.mx Guadalajara,2003,2,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
365,Jorge Gutiérrez,DF,pa Panama,27-302,1.ve Dep. La Guaira,1998,1,1,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
366,Joško Gvardiol,DF,hr Croatia,24-158,1.eng Manchester City,2002,3,2,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
367,Viktor Gyökeres,FW,se Sweden,28-026,1.eng Arsenal,1998,3,3,270,3,1,2,3,1,0,0,1,0,0.33,0.67,1,0.33,1,Matches
368,Aziz G?aniyev,MF,uz Uzbekistan,28-128,,1998,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
369,Erling Haaland,FW,no Norway,25-344,1.eng Manchester City,2000,2,2,180,2,4,0,4,4,0,0,0,0,2,0,2,2,2,Matches
370,Ihsan Haddad,DF,jo Jordan,32-145,1.jo Al-Hussein SC,1994,3,3,260,2.9,0,1,1,0,0,0,0,0,0,0.35,0.35,0,0.35,Matches
371,Anis Hadj Moussa,MF,dz Algeria,24-139,1.nl Feyenoord,2002,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
372,Jaouen Hadjam,DF,dz Algeria,23-096,1.ch Young Boys,2003,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Amir Hadžiahmetovi?,MF,ba Bosnia–Herz,29-114,2.eng Hull City,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
374,Dennis Hadžikaduni?,DF,ba Bosnia–Herz,27-356,2.it Sampdoria,1998,1,0,27,0.3,0,1,1,0,0,0,0,0,0,3.33,3.33,0,3.33,Matches
375,Karim Hafez,DF,eg Egypt,30-110,1.eg Pyramids FC,1996,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Ehsan Hajsafi,DF,ir IR Iran,36-125,1.ir Sepahan,1990,2,1,91,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
377,Achraf Hakimi,DF,ma Morocco,27-238,1.fr PSG,1998,4,4,390,4.3,1,1,2,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,Matches
378,Redouane Halhal,DF,ma Morocco,23-117,1.be Mechelen,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
379,Ali Al Hamadi,FW,iq Iraq,24-121,2.eng Ipswich Town,2002,3,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Abdullah Al-Hamdan,FW,sa Saudi Arabia,26-290,1.sa Al-Nassr,1999,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
381,Mohamed Amine Ben Hamida,DF,tn Tunisia,30-197,1.tn Espérance Tunis,1995,3,2,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
382,Odiljon Hamrobekov,MF,uz Uzbekistan,30-137,1.ir Tractor,1996,2,1,77,0.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
383,Lee Han-beom,DF,kr Korea Republic,24-013,1.dk Midtjylland,2002,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
384,Grant Hanley,DF,sct Scotland,34-222,1.sct Hibernian,1991,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
385,Sontje Hansen,FW,cw Curaçao,24-043,2.eng Middlesbrough,2002,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Mohamed Hany,DF,eg Egypt,30-156,1.eg Al Ahly,1996,3,3,270,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
387,Moteb Al-Harbi,DF,sa Saudi Arabia,26-130,1.sa Al-Hilal,2000,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
388,Saleh Hardani,DF,ir IR Iran,27-186,1.ir Esteghlal,1998,2,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Carlos Harvey,MF,pa Panama,26-147,1.us Minnesota Utd,2000,3,3,267,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
390,Akam Hashim,DF,iq Iraq,27-318,1.iq Al-Zawra'a SC,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
391,Jalal Hassan,GK,iq Iraq,35-043,1.iq Al-Zawra'a SC,1991,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
392,Abdulaziz Hatem,MF,qa Qatar,36-180,1.qa Al Rayyan SC,1990,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
393,Jorrel Hato,DF,nl Netherlands,20-115,1.eng Chelsea,2006,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
394,Kai Havertz,FW,de Germany,27-019,1.eng Arsenal,1999,4,4,353,3.9,3,0,3,2,1,1,1,0,0.76,0,0.76,0.51,0.51,Matches
395,Hassan Al-Haydos,MF,qa Qatar,35-201,1.qa Al Sadd,1990,2,1,57,0.6,1,0,1,1,0,0,0,0,1.58,0,1.58,1.58,1.58,Matches
396,Jan Paul van Hecke,DF,nl Netherlands,26-022,1.eng Brighton,2000,4,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches
397,Hwang Hee-chan,FW,kr Korea Republic,30-155,1.eng Wolves,1996,3,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
398,Torbjørn Heggem,DF,no Norway,27-169,1.it Bologna,1999,2,2,173,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
399,Alaa Al Hejji,MF,sa Saudi Arabia,30-209,1.sa Neom,1995,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
400,Jordan Henderson,MF,eng England,36-013,1.eng Brentford,1990,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
401,Jack Hendry,DF,sct Scotland,31-054,1.sa Al-Ettifaq,1995,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
402,Luiz Henrique,"FW,MF",br Brazil,25-179,1.ru Zenit,2001,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
403,Theo Hernández,DF,fr France,28-267,1.sa Al-Hilal,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
404,Lucas Herrington,DF,au Australia,18-298,1.us Colorado Rapids,2007,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
405,Son Heung-min,FW,kr Korea Republic,33-357,1.us LAFC,1992,3,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
406,Aaron Hickey,DF,sct Scotland,24-020,1.eng Brentford,2002,1,1,74,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
407,Isak Hien,DF,se Sweden,27-168,1.it Atalanta,1999,3,3,216,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
408,Piero Hincapié,DF,ec Ecuador,24-172,1.eng Arsenal,2002,3,3,250,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
409,Adam Hložek,FW,cz Czechia,23-340,1.de Hoffenheim,2002,3,2,156,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
410,Tomáš Holeš,DF,cz Czechia,33-091,1.cz Slavia Prague,1993,2,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
411,Amirhossein Hosseinzadeh,FW,ir IR Iran,25-243,1.ir Tractor,2000,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
412,Robin Hraná?,DF,cz Czechia,26-152,1.de Hoffenheim,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
413,Ajdin Hrustic,MF,au Australia,29-360,1.nl Heracles Almelo,1996,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
414,César Huerta,"FW,MF",mx Mexico,25-209,1.be Anderlecht,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
415,Al-Hashmi Al-Hussain,MF,qa Qatar,22-319,1.qa Al-Arabi,2003,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
416,Ayman Hussein,FW,iq Iraq,30-100,1.iq Al-Karma,1996,2,2,115,1.3,1,0,1,1,0,0,0,0,0.78,0,0.78,0.78,0.78,Matches
417,Oh Hyeon-gyu,FW,kr Korea Republic,25-079,1.tr Be?ikta?,2001,3,1,129,1.4,1,0,1,1,0,0,0,0,0.7,0,0.7,0.7,0.7,Matches
418,Yang Hyun-jun,"FW,MF",kr Korea Republic,24-036,1.sct Celtic,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
419,Roger Ibanez,DF,br Brazil,27-219,1.sa Al-Ahli,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
420,Yasser Ibrahim,DF,eg Egypt,33-140,1.eg Al Ahly,1993,3,2,257,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
421,Hwang In-beom,MF,kr Korea Republic,29-283,1.nl Feyenoord,1996,3,3,263,2.9,1,1,2,1,0,0,0,0,0.34,0.34,0.68,0.34,0.68,Matches
422,Christ Inao Oulaï,MF,ci Côte d'Ivoire,20-085,1.tr Trabzonspor,2006,3,1,149,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
423,Zidane Iqbal,MF,iq Iraq,23-064,1.nl Utrecht,2003,3,2,188,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
424,Nestory Irankunda,"MF,FW",au Australia,20-141,2.eng Watford,2006,3,2,188,2.1,1,0,1,1,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
425,Jackson Irvine,MF,au Australia,33-115,1.de St Pauli,1993,3,1,103,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
426,Alexander Isak,FW,se Sweden,26-282,1.eng Liverpool,1999,3,3,269,3,1,3,4,1,0,0,0,0,0.33,1,1.34,0.33,1.34,Matches
427,Wilson Isidor,FW,ht Haiti,25-307,1.eng Sunderland,2000,3,2,186,2.1,1,0,1,1,0,0,0,0,0.48,0,0.48,0.48,0.48,Matches
428,Jamshid Iskanderov,"FW,MF",uz Uzbekistan,32-257,1.uz Neftchi FK,1993,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
429,Zaid Ismail,MF,iq Iraq,24-178,1.iq Al-Talaba,2002,2,2,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
430,Ko Itakura,DF,jp Japan,29-154,1.nl Ajax,1997,2,2,128,1.4,0,1,1,0,0,0,0,0,0,0.7,0.7,0,0.7,Matches
431,Jacob Italiano,DF,au Australia,24-335,1.at Grazer AK,2001,2,2,163,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
432,Hiroki Ito,DF,jp Japan,27-049,1.de Bayern Munich,1999,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
433,Junya It?,MF,jp Japan,33-113,1.be Genk,1993,4,2,216,2.4,1,0,1,1,0,0,0,0,0.42,0,0.42,0.42,0.42,Matches
434,Cedric Itten,"FW,MF",ch Switzerland,29-185,2.de Düsseldorf,1996,2,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Nicolas Jackson,FW,sn Senegal,25-010,1.de Bayern Munich,2001,3,2,206,2.3,0,1,1,0,0,0,0,0,0,0.44,0.44,0,0.44,Matches
436,Lee Jae-sung,FW,kr Korea Republic,33-324,1.de Mainz 05,1992,2,2,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
437,Alireza Jahanbakhsh,"FW,MF",ir IR Iran,32-323,1.be Dender,1993,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
438,Ismail Jakobs,DF,sn Senegal,26-317,1.tr Galatasaray,1999,2,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
439,Reece James,DF,eng England,26-204,1.eng Chelsea,1999,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
440,Amer Jamous,MF,jo Jordan,23-362,1.iq Al-Zawra'a SC,2002,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
441,Luca Jaquez,DF,ch Switzerland,23-028,1.de Stuttgart,2003,2,1,78,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
442,Ardon Jashari,MF,ch Switzerland,23-335,1.it Milan,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
443,Ali Jasim,MF,iq Iraq,22-161,1.sa Al-Najma,2004,2,2,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
444,Danley Jean-Jacques,MF,ht Haiti,26-041,1.us Philadelphia,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
445,Eom Ji-sung,MF,kr Korea Republic,24-052,2.eng Swansea City,2002,2,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
446,Raúl Jiménez,FW,mx Mexico,35-056,1.eng Fulham,1991,2,2,154,1.7,1,0,1,1,0,0,0,0,0.58,0,0.58,0.58,0.58,Matches
447,Kim Jin-gyu,MF,kr Korea Republic,29-126,1.kr Jeonbuk,1997,2,0,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
448,Park Jinseob,"DF,MF",kr Korea Republic,30-250,1.cn Zhejiang,1995,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
449,Ruslanbek Jiyanov,FW,uz Uzbekistan,25-025,1.uz Navbahor,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
450,Alistair Johnston,DF,ca Canada,27-265,1.sct Celtic,1998,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
451,Frenkie de Jong,MF,nl Netherlands,29-049,1.es Barcelona,1997,4,4,328,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
452,Lenny Joseph,FW,ht Haiti,25-261,1.hu Ferencváros,2000,3,1,117,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
453,Edmilson Junior,"MF,FW",qa Qatar,31-315,1.qa Al Duhail SC,1994,3,3,210,2.3,0,1,1,0,0,0,0,0,0,0.43,0.43,0,0.43,Matches
454,Vinicius Júnior,FW,br Brazil,25-353,1.es Real Madrid,2000,4,4,350,3.9,4,1,5,4,0,0,0,0,1.03,0.26,1.29,1.03,1.29,Matches
455,Elijah Just,MF,nz New Zealand,26-060,1.sct Motherwell,2000,3,3,264,2.9,3,0,3,3,0,0,1,0,1.02,0,1.02,1.02,1.02,Matches
456,Musab Al Juwayr,"MF,FW",sa Saudi Arabia,23-010,1.sa Al-Qadsiah,2003,3,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
457,Ayoub El Kaabi,FW,ma Morocco,33-004,1.gr Olympiacos,1993,1,1,69,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
458,Ozan Kabak,DF,tr Türkiye,26-097,1.de Hoffenheim,2000,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
459,Ferdi Kadioglu,DF,tr Türkiye,26-266,1.eng Brighton,1999,2,2,159,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
460,Kaku,MF,py Paraguay,31-170,1.ae Al Ain,1995,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
461,Saša Kalajdži?,FW,at Austria,28-358,1.at LASK,1997,2,1,46,0.5,1,0,1,1,0,0,0,0,1.96,0,1.96,1.96,1.96,Matches
462,Gédéon Kalulu,DF,cd Congo DR,28-305,1.cy Aris Limassol,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
463,Daichi Kamada,MF,jp Japan,29-329,1.eng Crystal Palace,1996,4,4,329,3.7,2,0,2,2,0,0,1,0,0.55,0,0.55,0.55,0.55,Matches
464,Hossein Kanaanizadegan,DF,ir IR Iran,32-099,1.ir Persepolis,1994,2,2,135,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
465,Harry Kane,FW,eng England,32-337,1.de Bayern Munich,1993,3,3,263,2.9,3,0,3,2,1,1,0,0,1.03,0,1.03,0.68,0.68,Matches
466,Lee Kang-in,FW,kr Korea Republic,25-131,1.fr PSG,2001,3,3,270,3,0,1,1,0,0,0,1,0,0,0.33,0.33,0,0.33,Matches
467,Mohamed Kanno,MF,sa Saudi Arabia,31-281,1.sa Al-Hilal,1994,3,2,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
468,Steve Kapuadi,DF,cd Congo DR,28-061,1.pl Widzew ?ód?,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
469,Bekhruz Karimov,DF,uz Uzbekistan,18-327,1.uz FC Surkhon,2007,2,2,179,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
470,Jesper Karlström,MF,se Sweden,31-009,1.it Udinese,1995,2,2,138,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
471,Gervane Kastaneer,"FW,MF",cw Curaçao,30-021,1.my Terengganu City,1996,3,0,30,0.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
472,Nikola Kati?,DF,ba Bosnia–Herz,29-263,2.de Schalke 04,1996,3,3,243,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
473,Edo Kayembe,MF,cd Congo DR,28-027,2.eng Watford,1998,2,2,145,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
474,Joris Kayembe,"DF,FW",cd Congo DR,31-326,1.be Genk,1994,3,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
475,Franck Kessié,MF,ci Côte d'Ivoire,29-193,1.sa Al-Ahli,1996,3,3,256,2.8,1,0,1,1,0,0,1,0,0.35,0,0.35,0.35,0.35,Matches
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
