Name,Pos,Team,GP,G,A,PTS,+/-,PIM,PPG,PPA,SHG,SHA,Pt/G,FOW,FO,WF%,PIMPG,SH,SH%,BLK,Hits,H/GP,TOI,TOI/GP
Allyson Simpson,D,NY,17,0,1,1,-1,12,0,0,0,0,0.06,0,0,0,0.71,20,0,16,12,0.71,312:23:00,18:22
Emma Woods,F,TOR,18,0,1,1,-3,2,0,0,0,0,0.06,2,4,50,0.11,14,0,5,9,0.5,158:18:00,8:47
Brianna Brooks,F,VAN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0:00
Loren Gabel,LW,BOS,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,13:38,13:38
Élizabeth Giguère,F,MIN,1,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11:15,11:15
Sydney Langseth,F,SEA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4:50,4:50
Malia Schneider,F,VAN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15:21,7:40
Olivia Wallin,F,OTT,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4:49,2:24
Olivia Zafuto,LD,BOS,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,11:35,5:47
Tamara Giaquinto,D,MTL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,32:45:00,10:55
Olivia Knowles,D,NY,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6:46,2:15
Kaitlyn O'Donohoe,F,MIN,4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19:23,4:50
Mia Biotti,RD,BOS,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0.4,27:22:00,5:28
Hanna Baskin,D,TOR,6,0,0,0,0,2,0,0,0,0,0,1,1,100,0.33,1,0,0,2,0.33,39:25:00,6:34
Kelly Ann Nadeau,D,MTL,6,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21:40,3:36
Madison Bizal,D,MIN,7,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,44:03:00,6:17
Dayle Ross,D,NY,7,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,10,0,2,5,0.71,55:01:00,7:51
Jessica Kondas,D,TOR,8,0,0,0,2,2,0,0,0,0,0,0,0,0,0.25,5,0,5,8,1,60:49:00,7:36
Lily Delianedis,F,SEA,9,0,0,0,-1,2,0,0,0,0,0,9,22,40.9,0.22,2,0,0,2,0.22,46:59:00,5:13
Jenna Buglioni,F,SEA,12,0,0,0,0,2,0,0,0,0,0,17,38,44.7,0.17,0,0,5,6,0.5,84:27:00,7:02
Catherine Dubois,F,MTL,12,0,0,0,-1,4,0,0,0,0,0,1,1,100,0.33,12,0,3,7,0.58,108:39:00,9:03
Kathryn Reilly,D,OTT,12,0,0,0,-1,4,0,0,0,0,0,0,0,0,0.33,7,0,2,2,0.17,147:18:00,12:16
Marah Wagner,F,SEA,12,0,0,0,-1,2,0,0,0,0,0,0,0,0,0.17,7,0,1,6,0.5,101:12:00,8:26
Clair DeGeorge,F,TOR,14,0,0,0,-1,4,0,0,0,0,0,0,1,0,0.29,1,0,1,1,0.07,27:48:00,1:59
Madison Samoskevich,LD,VAN,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0.43,3,0,5,19,1.36,143:07:00,10:13
Anna Segedi,F,VAN,14,0,0,0,-4,2,0,0,0,0,0,56,113,49.6,0.14,10,0,2,11,0.79,160:14:00,11:26
Vanessa Upson,F,MIN,14,0,0,0,-4,0,0,0,0,0,0,19,45,42.2,0,6,0,5,0,0,79:09:00,5:39
Taylor House,F,OTT,16,0,0,0,-3,2,0,0,0,0,0,5,13,38.5,0.13,5,0,5,16,1,103:24:00,6:27
Mellissa Channell-Watkins,D,VAN,17,0,0,0,-6,2,0,0,0,0,0,0,0,0,0.12,12,0,20,30,1.76,326:59:00,19:14
Emma Greco,D,OTT,17,0,0,0,-3,23,0,0,0,0,0,0,0,0,1.35,4,0,5,8,0.47,42:24:00,6:42
Alexa Vasko,F,OTT,17,0,0,0,-3,2,0,0,0,0,0,76,132,57.6,0.12,12,0,12,30,1.76,179:04:00,10:32
